tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumartesi Pazar Alanı,İSTANBUL,KUYULU,BAHÇELİEVLER,CUMHURİYET,28.85587215179384,41.02003511117499,151346097,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Yıldıztepe İlkokulu Bahçesi,İSTANBUL,578.,BAĞCILAR,YILDIZTEPE,28.85587215179384,41.02003511117499,151345992,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Hoca Ahmet Yesevi Ortaokulu Bahçesi,İSTANBUL,578.,BAĞCILAR,YILDIZTEPE,28.85587215179384,41.02003511117499,151345991,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Bağcılar Anadolu Lisesi Bahçesi,İSTANBUL,582.,BAĞCILAR,YILDIZTEPE,28.857062787764388,41.02003511117499,151345990,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Dede Korkut Anadolu Lisesi Bahçesi,İSTANBUL,ORMANTEPE,BAHÇELİEVLER,CUMHURİYET,28.848728368449542,41.02183173352498,151346098,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Yıldıztepe Parkı ve Çevresi,İSTANBUL,MEHMET AKİF,BAĞCILAR,YILDIZTEPE,28.848728368449542,41.02183173352498,151345988,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Cumhuriyet Parkı,İSTANBUL,ORMANTEPE,BAHÇELİEVLER,CUMHURİYET,28.848728368449542,41.02183173352498,151346094,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Molla Gürani Parkı,İSTANBUL,ŞEHİT YILMAZ KAAN,BAĞCILAR,İNÖNÜ,28.848728384690144,41.02273004469997,151345784,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
501 Sok Teknik Altyapı Alanı (T.A.Y),İSTANBUL,551.,BAĞCILAR,YILDIZTEPE,28.849919069380288,41.02273004469997,151345993,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Abdullah Hürcan Parkı,İSTANBUL,BAĞCILAR,BAĞCILAR,YENİGÜN,28.855872492831008,41.02273004469997,151346006,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
İnönü Ortaokulu Bahçesi,İSTANBUL,ŞEHİT YILMAZ KAAN,BAĞCILAR,İNÖNÜ,28.84872840093148,41.02362835587496,151345787,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Ahmet Ziyaüddin Gümüşhanevi Parkı,İSTANBUL,BAĞCILAR,BAĞCILAR,YENİGÜN,28.855872606520368,41.02362835587496,151346007,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Abdurrahman - Nermin Bilimli İlkokulu Bahçesi,İSTANBUL,496.,BAĞCILAR,YILDIZTEPE,28.852300568694215,41.024526667049955,151345989,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Cumhuriyet Parkı,İSTANBUL,509.,BAĞCILAR,YILDIZTEPE,28.85706343738843,41.024526667049955,151345987,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Merkez Parkı,İSTANBUL,656.,BAĞCILAR,MERKEZ,28.8570638272335,41.02722160057493,151345913,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Eski Ramazan Çadır Alanı,İSTANBUL,ŞEHİT YILMAZ KAAN,BAĞCILAR,İNÖNÜ,28.853491610746026,41.028119911749926,151345786,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
Şehit Bayram Çağlar Parkı,İSTANBUL,ŞEHİT YILMAZ KAAN,BAĞCILAR,İNÖNÜ,28.85468239289523,41.028119911749926,151345782,"[<POLYGON ((28.848 41.021, 28.849 41.021, 28.85 41.021, 28.851 41.021, 28.851...>]"
