tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ozan Restoran,İSTANBUL,KİLYOS,SARIYER,MADEN,29.04364552463843,41.18575371117499,151348874,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Günübirlik Tesis,İSTANBUL,KİLYOS,SARIYER,MADEN,29.04364552463843,41.18575371117499,151348873,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Maden Mahallesi Kurban Kesim Alanı,İSTANBUL,KİLYOS,SARIYER,MADEN,29.04364552463843,41.18575371117499,151348871,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Baba Kenan Parkı,İSTANBUL,KİLYOS,SARIYER,MADEN,29.042452502685595,41.18665202234998,151348870,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Acarlar Sitesi Yolu Yeşil Alan,İSTANBUL,KİLYOS,SARIYER,ZEKERİYAKÖY,29.046033484476563,41.18665202234998,151348959,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Zekeriyaköy Aygaz Parkı,İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.014998800253043,41.18844864469997,151348957,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Köy İçi Parkı (Bahriye Üçok Parkı),İSTANBUL,KUMKÖY,SARIYER,ZEKERİYAKÖY,29.014998800253043,41.18844864469997,151348958,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
2 Temmuz Parkı,İSTANBUL,KAZIM KARABEKİR BİLİNMEYEN,SARIYER,KAZIM KARABEKİR PAŞA,29.014998800253043,41.18844864469997,151348858,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Salih Kavras Parkı,İSTANBUL,KUMKÖY,SARIYER,BAHÇEKÖY YENİ,29.013805336190902,41.18934695587496,151348961,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Tuncel Kurtiz Parkı,İSTANBUL,ATEŞ BÖCEĞİ,SARIYER,USKUMRUKÖY,29.014999291595796,41.19024526704995,151348953,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Sadık Güney Parkı,İSTANBUL,KUMKÖY,SARIYER,BAHÇEKÖY YENİ,29.00664333988472,41.191143578224946,151348960,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Bahçeköy Türkan Efe İlkokulu-Ortaokulu Bahçesi,İSTANBUL,KUMKÖY,SARIYER,BAHÇEKÖY YENİ,29.00425595319324,41.19204188939994,151348963,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Yakup Kaptan Topçular Parkı.,İSTANBUL,HAVANTEPE,SARIYER,YENİ,29.05678298138336,41.193838511749924,151348964,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Mana Topçu Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİKAVAĞI,29.06036609281652,41.19563513409991,151348851,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
R.Güney Kıldıran İlkokulu Bahçesi,İSTANBUL,RUMELİFENERİ,SARIYER,RUMELİKAVAĞI,29.061560801927246,41.1965334452749,151348852,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Ormanada Evleri Yeşil Alan,İSTANBUL,KİLYOS,SARIYER,USKUMRUKÖY,29.035297353471567,41.19833006762489,151348955,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Sarıyer Belediyesi Spor Tesisi,İSTANBUL,ATEŞ BÖCEĞİ,SARIYER,USKUMRUKÖY,29.004257034564116,41.20192331232486,151348954,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
Demirciköy Parkı,İSTANBUL,SAZLIDERE,SARIYER,DEMİRCİKÖY,29.056795271918705,41.207313179374815,151348921,"[<POLYGON ((29.046 41.215, 29.046 41.215, 29.045 41.214, 29.045 41.214, 29.04...>]"
