tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Duvardibi Parkı,İSTANBUL,TIBBİYE,ÜSKÜDAR,SELİMİYE,29.018603904791274,41.01264451117499,151350843,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Selimiye İlkokul Yanı Park,İSTANBUL,TIBBİYE,ÜSKÜDAR,SELİMİYE,29.018603904791274,41.01264451117499,151350840,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Tıbbiye Caddesi Namazgah,İSTANBUL,TIBBİYE,ÜSKÜDAR,SALACAK ,29.018603904791274,41.01264451117499,151350905,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Selimiye İç Parkı,İSTANBUL,TIBBİYE,ÜSKÜDAR,SELİMİYE,29.01979440718691,41.01264451117499,151350841,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Çiçekçi Parkı,İSTANBUL,TIBBİYE,ÜSKÜDAR,SALACAK ,29.017413418628717,41.01354282234998,151350836,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Selimiye Parkı,İSTANBUL,TIBBİYE,ÜSKÜDAR,SELİMİYE,29.017413418628717,41.01354282234998,151350842,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Selvili Parkı,İSTANBUL,HACI CAFER,ÜSKÜDAR,ZEYNEP KAMİL,29.02098497451487,41.01354282234998,151350790,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Zeynep Kamil İlkokulu Bahçesi,İSTANBUL,ARAKİYECİ ÇIKMAZI,ÜSKÜDAR,ZEYNEP KAMİL,29.02217549314359,41.01354282234998,151350792,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Zeynep Kamil Parkı,İSTANBUL,ARAKİYECİ ÇIKMAZI,ÜSKÜDAR,ZEYNEP KAMİL,29.02217549314359,41.01354282234998,151350791,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Barbaros Açık Oto Pazarı,İSTANBUL,NUHKUYUSU,ÜSKÜDAR,BARBAROS ,29.025747178900243,41.014441133524976,151350723,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Cahit Zarifoğlu Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,VALİDE-İ ATİK,29.026937713762774,41.014441133524976,151350809,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Dönmedolap Parkı,İSTANBUL,İNADİYE MESCİDİ,ÜSKÜDAR,AHMEDİYE,29.01741345109708,41.01533944469997,151350899,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Sokullu Mehmet Paşa İlkokulu Bahçesi,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,VALİDE-İ ATİK,29.019794553291245,41.01533944469997,151350813,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Divitçiler Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,VALİDE-İ ATİK,29.024556757679573,41.01533944469997,151350810,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Hayrettin Çavuş Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,VALİDE-İ ATİK,29.019794601997095,41.01623775587496,151350808,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Çavuşdere Meydan Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,MİMAR SİNAN,29.019794650705162,41.017136067049954,151350869,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Belediye Binası Önü,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,MİMAR SİNAN,29.02098523427355,41.017136067049954,151350917,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
Kasımağa Parkı,İSTANBUL,DR. FAHRİ ATABEY,ÜSKÜDAR,VALİDE-İ ATİK,29.022175817841937,41.017136067049954,151350814,"[<POLYGON ((29.02 41.019, 29.02 41.019, 29.02 41.018, 29.019 41.018, 29.019 4...>]"
