tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Abdullah Gül Parkı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ORHAN VELİ,ESENYURT,GÖKEVLER,28.620575676863012,41.03487161117499,151347487,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Kıraç İMKB Mesleki Ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,HADIMKÖY YOLU,ESENYURT,ATATÜRK,28.620575676863012,41.03487161117499,151347398,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Siteler İlkokulu Bahçesi,İSTANBUL,ORHAN VELİ,ESENYURT,GÖKEVLER,28.620575676863012,41.03487161117499,151347460,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Çakmaklı Cumhuriyet Ortaokulu Bahçesi,İSTANBUL,HİTİT,BÜYÜKÇEKMECE,ÇAKMAKLI,28.618194388375613,41.03666823352498,151346905,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Necmettin Erbakan Parkı,İSTANBUL,HADIMKÖY YOLU,ESENYURT,ATATÜRK,28.62176719869604,41.03666823352498,151347397,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Hastürk Caddesi Parkı,İSTANBUL,DİNAMİK,BÜYÜKÇEKMECE,ÇAKMAKLI,28.61700369539347,41.03756654469997,151346902,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Çakmaklı Cami Bahçesi,İSTANBUL,İSKİ YOLU,BÜYÜKÇEKMECE,ÇAKMAKLI,28.614622423256023,41.04026147822495,151346903,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Demet Caddesi ve Tabya Caddesi Kesişimi Yeşil Alan,İSTANBUL,İSKİ YOLU,BÜYÜKÇEKMECE,19 MAYIS,28.607476640107482,41.042058100574934,151347013,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Atatürk Spor Kompleksi,İSTANBUL,GÖLBOYU,BÜYÜKÇEKMECE,DİZDARİYE,28.603903602232975,41.04295641174993,151347014,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
19 Mayıs Ortaokulu Bahçesi,İSTANBUL,BEHÇET KEMAL ÇAĞLAR,BÜYÜKÇEKMECE,19 MAYIS,28.603903602232975,41.04295641174993,151347010,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Alkent 2000 Anaokulu Bahçesi,İSTANBUL,KÜLHAN,BÜYÜKÇEKMECE,ÇAKMAKLI,28.607476753907708,41.04295641174993,151346904,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
(172/1 VE 172/2 Parsel) Sağlık Ocağı Bahçesi,İSTANBUL,HOŞSEDA,BÜYÜKÇEKMECE,ÇAKMAKLI,28.622960411164883,41.04295641174993,151346906,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
MEV Koleji Özel Büyükçekmece İlkokulu Bahçesi,İSTANBUL,HAZNEDAR,BÜYÜKÇEKMECE,ALKENT 2000,28.6062860935659,41.0465496564499,151346919,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
Alkev Özel Okulları Bahçesi,İSTANBUL,HAZNEDAR,BÜYÜKÇEKMECE,ALKENT 2000,28.60271294192653,41.05014290114987,151346918,"[<POLYGON ((28.603 41.061, 28.603 41.06, 28.603 41.059, 28.604 41.058, 28.603...>]"
