tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Zeytinsuyu Parkı,İSTANBUL,KUŞADASI,BÜYÜKÇEKMECE,KAMİLOBA,28.457396957349946,41.068264511174995,151439922,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Kuvayi Milliye Okul Bahçesi,İSTANBUL,OKUL,BÜYÜKÇEKMECE,KUMBURGAZ,28.457396957349946,41.068264511174995,151346990,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Gökhan Kurtulmuş Parkı,İSTANBUL,KUŞADASI,BÜYÜKÇEKMECE,KAMİLOBA,28.457396957349946,41.068264511174995,151346928,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Yasa Sokak Parkı,İSTANBUL,KANYON,BÜYÜKÇEKMECE,KUMBURGAZ,28.460971483972354,41.068264511174995,151346992,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Tepekent Çevresi Yeşil Alanlar,İSTANBUL,NACAROĞLU,ÇATALCA,MURATBEY MERKEZ,28.46812053721717,41.068264511174995,151347023,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Kamiloba Stadı,İSTANBUL,ÇAKIL YOLU,BÜYÜKÇEKMECE,KAMİLOBA,28.45382327723819,41.07006113352498,151346929,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Fırın Sokak Parkı,İSTANBUL,ÇAKIL YOLU,BÜYÜKÇEKMECE,KAMİLOBA,28.45144097583893,41.071857755874966,151346926,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Muratbey Köy Meydanı,İSTANBUL,NACİ,ÇATALCA,MURATBEY MERKEZ,28.470506159731553,41.071857755874966,151347083,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Bilir Caddesi Yeşil Alan,İSTANBUL,NACİ,ÇATALCA,MURATBEY MERKEZ,28.468124867935135,41.074552689399944,151347082,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Altınbaş Sokak Spor Alanı,İSTANBUL,BERHUDAR,ÇATALCA,ÇAKIL,28.458598237639013,41.08623073467485,151347025,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Gazi Atatürk Meydanı,İSTANBUL,HANIMELLER ÇIKMAZI,ÇATALCA,OVAYENİCE,28.452640286762783,41.08892566819983,151347107,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Cemal Yamaner Parkı,İSTANBUL,HANIMELLER ÇIKMAZI,ÇATALCA,OVAYENİCE,28.452640286762783,41.08892566819983,151347024,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Ahmediye Meydan,İSTANBUL,ÇATALCA YOLU,BÜYÜKÇEKMECE,AHMEDİYE,28.478861723114033,41.08892566819983,151346950,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Erguvan Parkı,İSTANBUL,KARAMANLAR,ÇATALCA,FERHATPAŞA,28.474094889945288,41.08982397937482,151347031,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
Kiptaş AVM Otopark ve Cami Bahçesi,İSTANBUL,KARAMANLAR,ÇATALCA,FERHATPAŞA,28.45502625381708,41.09341722407479,151347042,"[<POLYGON ((28.444 41.076, 28.447 41.074, 28.449 41.073, 28.452 41.07, 28.455...>]"
