tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Salı Pazarı Kurulan Alan,İSTANBUL,SEMERKANT,PENDİK,SÜLÜNTEPE,29.280095509705703,40.918255211174994,151350340,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Vildan Sokak Parkı,İSTANBUL,SEMERKANT,PENDİK,SÜLÜNTEPE,29.280095509705703,40.918255211174994,151350336,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
"0 Ada, 811 Parsel Kamuya Ait Hisseli Boş Arazi",İSTANBUL,SEMERKANT,PENDİK,SÜLÜNTEPE,29.280095509705703,40.918255211174994,151350383,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Tenvir Sokak Parkı,İSTANBUL,SEMERKANT,PENDİK,SÜLÜNTEPE,29.28128431051451,40.918255211174994,151350337,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Molla Gürani Parkı,İSTANBUL,KUMSAL,PENDİK,KURTKÖY,29.28247311132332,40.918255211174994,151350345,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Necip Fazıl Kısakürek Ortaokulu Bahçesi,İSTANBUL,YAHYA KEMAL BEYATLI,PENDİK,ÇAMLIK,29.286039513749746,40.918255211174994,151350354,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Mesken Konutları  Parkı,İSTANBUL,SAFA,PENDİK,KURTKÖY,29.286039513749746,40.918255211174994,151350341,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Kurtköy Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,SELÇUKLU,PENDİK,KURTKÖY,29.29198351779379,40.918255211174994,151350342,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Aydos Spor Kulübü,İSTANBUL,SEMERKANT,PENDİK,ÇAMLIK,29.275340435718647,40.91915352234999,151350353,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
Kosovalı Şehit Adem Yaşari Parkı,İSTANBUL,YAHYA KEMAL BEYATLI,PENDİK,ÇAMLIK,29.286039788402125,40.91915352234999,151350349,"[<POLYGON ((29.283 40.935, 29.283 40.935, 29.282 40.935, 29.28 40.935, 29.28 ...>, <POLYGON ((29.13 41.009, 29.13 41.009, 29.13 41.01, 29.13 41.01, 29.13 41.01...>, <POLYGON ((29.191 41.014, 29.194 41.014, 29.195 41.014, 29.196 41.014, 29.19...>]"
