tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Gülizar Zeki Obdan İlkokulu Bahçesi,İSTANBUL,D 100,PENDİK,GÜZELYALI,29.27594013297102,40.86415231117499,151350369,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Türbe Sokak Parkı,İSTANBUL,D 100,PENDİK,GÜZELYALI,29.27594013297102,40.86415231117499,151350375,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Nene Hatun Parkı,İSTANBUL,D 100,PENDİK,GÜZELYALI,29.27594013297102,40.86415231117499,151350363,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Pendik Askerlik Şubesi Karşısı Boş Alan,İSTANBUL,FABRİKA,PENDİK,ÇAMÇEŞME,29.274752416633945,40.86505062234998,151350320,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Şehit Fatih Devravut Parkı,İSTANBUL,OĞUZLAR,PENDİK,GÜZELYALI,29.277128107100786,40.86505062234998,151350364,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Alparslan Anadolu Lisesi Bahçesi,İSTANBUL,E 80 BAĞLANTI YOLU,PENDİK,ÇAMÇEŞME,29.273564764758195,40.86684724469997,151350316,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Barbaros Hayrettin Paşa Parkı,İSTANBUL,D 100,PENDİK,KAYNARCA,29.273564764758195,40.86684724469997,151350251,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Ahmet Yesevi İlkokulu Bahçesi,İSTANBUL,FABRİKA,PENDİK,ÇAMÇEŞME,29.274752642217894,40.86684724469997,151350315,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Öğretmenlerevi İlkokulu Bahçesi,İSTANBUL,D 100,PENDİK,KAYNARCA,29.271189138755563,40.868643867049954,151350255,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Çamçeşme İlkokulu Bahçesi,İSTANBUL,ANAFARTALAR,PENDİK,ÇAMÇEŞME,29.272377048444454,40.868643867049954,151350317,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Muhsin Yazıcıoğlu Ortaokulu Bahçesi,İSTANBUL,MÜKTESEP,PENDİK,ÇAMÇEŞME,29.271189332152606,40.87133880057493,151350318,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Şehit Bekçi Şaban Aras Parkı,İSTANBUL,AYDINLI,PENDİK,ÇAMÇEŞME,29.26762547415603,40.872237111749925,151350313,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Kılıç Reis Parkı,İSTANBUL,KILIÇ REİS,PENDİK,FEVZİ ÇAKMAK,29.26762549027464,40.87313542292492,151350230,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Çamçeşme İmam Hatip Ortaokulu Bahçesi,İSTANBUL,HANEDAN,PENDİK,ÇAMÇEŞME,29.27118946109856,40.87313542292492,151350382,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Kaynarca Merkez Cami Bahçesi,İSTANBUL,KILIÇ REİS,PENDİK,ÇAMÇEŞME,29.267625506393976,40.87403373409991,151350314,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
0 Ada 520 Parsel Okul Alanı,İSTANBUL,SEYDİLER,PENDİK,KAVAKPINAR,29.2771295575458,40.87403373409991,151439553,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Çamçeşme Parkı,İSTANBUL,EMNİYET,PENDİK,ÇAMÇEŞME,29.272377773781827,40.87672866762489,151350319,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
Kaynarca Spor Antreman Sahası,İSTANBUL,MARMARA,PENDİK,ESENLER,29.272377854393113,40.87762697879988,151350225,"[<POLYGON ((29.276 40.863, 29.277 40.864, 29.277 40.865, 29.278 40.865, 29.27...>]"
