tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Belediye Düğün ve Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,AKALAN,28.389185656829426,41.285170911174994,151347106,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
İhsaniye Meydanı,İSTANBUL,HATEM,ÇATALCA,İHSANİYE,28.389185656829426,41.285170911174994,151347061,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Pınarca Caddesi Spor Alanı,İSTANBUL,HATEM,ÇATALCA,İHSANİYE,28.389185656829426,41.285170911174994,151347060,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Şamdan Sokak Spor Alanı,İSTANBUL,TÜRBE,ÇATALCA,KALFA,28.393967500962475,41.285170911174994,151347087,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Çorluk Caddesi Yeşil Alan,İSTANBUL,DEĞİRMENDERE,ÇATALCA,ÇİFTLİKKÖY,28.39636243903658,41.288764155874965,151347079,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,İSTANBUL,ÇATALCA,KABAKÇA,28.350933553852094,41.29145908939994,151347084,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Gümüşpınar Meydanı,İSTANBUL,BOZYİĞİT,ÇATALCA,GÜMÜŞPINAR,28.346151561634272,41.292357400574936,151347102,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Önder Atatürk Caddesi Pazar Alanı,İSTANBUL,BOZYİĞİT,ÇATALCA,GÜMÜŞPINAR,28.33539303861653,41.302238823499856,151347101,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Sultan Süleyman Caddesi Spor Alanı,İSTANBUL,SULTAN SÜLEYMAN,ÇATALCA,BAŞAK,28.404754643983054,41.30762869054981,151347099,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Belgrat Köy Meydanı,İSTANBUL,ÇAVDAR,ÇATALCA,BELGRAT,28.379647513356232,41.314815179949754,151347078,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Fatih Sultan Caddesi Yeşil Alan,İSTANBUL,ÇAVDAR,ÇATALCA,BELGRAT,28.38084589149767,41.31751011347473,151347077,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Müjgan Sokak Spor Alanı,İSTANBUL,KARACA AHMETPAŞA,ÇATALCA,KARAMANDERE,28.333003995679803,41.31930673582472,151347064,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
Karamandere Meydanı,İSTANBUL,MÜJGAN,ÇATALCA,KARAMANDERE,28.34377158157032,41.328289847574645,151347065,"[<POLYGON ((28.323 41.307, 28.339 41.3, 28.34 41.3, 28.341 41.298, 28.346 41....>]"
