tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Nişantepe İlkokulu Bahçesi,İSTANBUL,SARAY,ÇEKMEKÖY,NİŞANTEPE,29.25600441739198,41.04464721117499,151347186,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Lokman Ceylan Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,NİŞANTEPE,29.25600441739198,41.04464721117499,151347188,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Dr.Yavuz Kalaycı Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,ÇATALMEŞE,29.25600441739198,41.04464721117499,151347228,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Alemdağ Emlak Konut Camii Bahçesi,İSTANBUL,SARAY,ÇEKMEKÖY,NİŞANTEPE,29.257195498551447,41.04464721117499,151347184,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Nişantepe Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,NİŞANTEPE,29.261959823189308,41.04464721117499,151347189,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Üsküdar Parkı,İSTANBUL,111.,ÇEKMEKÖY,ALEMDAĞ,29.24052042735761,41.046443833524975,151347171,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Meşe Parkı,İSTANBUL,111.,ÇEKMEKÖY,ÇATALMEŞE,29.24052042735761,41.046443833524975,151347231,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Yunus Erenoğlu Parkı,İSTANBUL,111.,ÇEKMEKÖY,ALEMDAĞ,29.24052042735761,41.046443833524975,151347172,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Ubeydullah Cami Bahçesi,İSTANBUL,225.,ÇEKMEKÖY,ÇATALMEŞE,29.25362267782445,41.046443833524975,151347226,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Gökkuşağı Parkı,İSTANBUL,SARAY,ÇEKMEKÖY,ÇATALMEŞE,29.24052045987915,41.04734214469997,151347230,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Alemdar Çatalmeşe İlkokulu Bahçesi,İSTANBUL,SARAY,ÇEKMEKÖY,ÇATALMEŞE,29.25243175927489,41.04734214469997,151347227,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Alemdağ Emlak Konut Ortaokulu Bahçesi,İSTANBUL,SARAY,ÇEKMEKÖY,NİŞANTEPE,29.267916448489355,41.04734214469997,151347185,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Hüsnü Özyeğin Vakfı Alemdağ Tunç ÇapaAnadolu Lisesi Bahçesi,İSTANBUL,REŞADİYE,ÇEKMEKÖY,ALEMDAĞ,29.240520589980072,41.05093538939994,151347166,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Çatalmeşe Parkı,İSTANBUL,194.,ÇEKMEKÖY,ÇATALMEŞE,29.241711784970107,41.05093538939994,151347229,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
142. Sokak Parkı,İSTANBUL,REŞADİYE,ÇEKMEKÖY,ALEMDAĞ,29.23932944378562,41.05363032292492,151347167,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Reşadiye Mesire Alanı,İSTANBUL,159.,ÇEKMEKÖY,REŞADİYE,29.240520882793376,41.05902018997487,151347236,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Erhallar Cami Bahçesi,İSTANBUL,SAFRAN ÇIKMAZI,ÇEKMEKÖY,REŞADİYE,29.26315671102335,41.059918501149866,151347234,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
Reşadiye Parkı,İSTANBUL,SAFRAN ÇIKMAZI,ÇEKMEKÖY,REŞADİYE,29.258392663583056,41.06441005702483,151347235,"[<POLYGON ((29.24 41.046, 29.241 41.046, 29.241 41.047, 29.241 41.048, 29.242...>]"
