tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çetin Emeç Bulvarı,İSTANBUL,ANKARA,KARTAL,KORDONBOYU,29.200306952919778,40.885884611174994,151348502,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Şehit Recep Büyük Özel Egitim Uygulama Okulu Ve İş Eğitim Merkezi Bahçesi,İSTANBUL,ÇOBANYILDIZI,KARTAL,ÇAVUŞOĞLU,29.200306952919778,40.885884611174994,151348402,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Kültür Parkı,İSTANBUL,ÇOBANYILDIZI,KARTAL,ÇAVUŞOĞLU,29.200306952919778,40.885884611174994,151348400,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Kartal Yunus Stadı,İSTANBUL,SANAYİ,KARTAL,YUNUS,29.203871610264695,40.885884611174994,151348392,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Yunus Nur Cami Bahçesi,İSTANBUL,SANAYİ,KARTAL,YUNUS,29.205059829379667,40.885884611174994,151348396,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Türk Kızılayı Kartal Anadolu Lisesi Bahçesi,İSTANBUL,PIRLANTA,KARTAL,ÇAVUŞOĞLU,29.19317770275018,40.88768123352498,151348403,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Sabri Taşkın İlkokulu Bahçesi,İSTANBUL,PIRLANTA,KARTAL,ÇAVUŞOĞLU,29.19317770275018,40.88768123352498,151348401,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Kartal Fatma Aliye Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,PIRLANTA,KARTAL,ÇAVUŞOĞLU,29.19317770275018,40.88768123352498,151348398,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Eski Kartal Stadı  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YAKACIK,KARTAL,KARLIKTEPE,29.191989467506243,40.88857954469997,151348409,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Kartal Orman İşletme Şefliği Bahçesi,İSTANBUL,AKNUR,KARTAL,ÇAVUŞOĞLU,29.19674269885371,40.89037616704996,151348399,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Gül Parkı,İSTANBUL,AYVALI,KARTAL,ÇAVUŞOĞLU,29.20149589793668,40.89037616704996,151348397,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Yusuf Akçura  Parkı,İSTANBUL,SANAYİ,KARTAL,YUNUS,29.20624909701965,40.89037616704996,151348393,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Çamlık Sokak Yanı Belediye Park ve Arazisi,İSTANBUL,YAKACIK,KARTAL,KARLIKTEPE,29.2014963335567,40.893071100574936,151348408,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Şehit Rıdvan Çelik Parkı,İSTANBUL,YAKACIK,KARTAL,KARLIKTEPE,29.197931385851025,40.89396941174993,151348414,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Kıbrıs Şehitleri Cami Bahçesi,İSTANBUL,SARIKÖY,KARTAL,TOPSELVİ,29.205061765337238,40.89486772292492,151348541,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Karlıktepe Mahallesi Fıstık Ağacı Yanı Sk. Boş Arazi,İSTANBUL,YAKACIK,KARTAL,KARLIKTEPE,29.202685488579473,40.8975626564499,151348577,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
Fatin Rüştü Zorlu Anadolu Lisesi Bahçesi,İSTANBUL,SEÇENLER,KARTAL,TOPSELVİ,29.206250984962733,40.89846096762489,151348540,"[<POLYGON ((29.191 40.889, 29.191 40.889, 29.192 40.888, 29.192 40.888, 29.19...>]"
