tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Adliye Meydanı (Hürriyet Mahallesi Tarafı),İSTANBUL,GELİN,KAĞITHANE,GÜRSEL,28.9791393358454,41.071522811174994,151489276,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Adliye Meydanı (Gürsel Tarafı),İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,KAPTANPAŞA,28.9791393358454,41.071522811174994,151348350,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Ziyapaşa İlkokulu Bahçesi,İSTANBUL,ABİDE-İ HÜRRİYET,KAĞITHANE,HÜRRİYET,28.9791393358454,41.071522811174994,151348187,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Manolya Parkı,İSTANBUL,KAĞITHANE,KAĞITHANE,GÜRSEL,28.97794778420406,41.072421122349986,151348193,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Çağlayan Parkı (Pazar Yeri Parkı),İSTANBUL,SEYHAN,KAĞITHANE,ÇAĞLAYAN,28.977947800486152,41.07331943352498,151348274,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Kağıthane Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,OCAK,KAĞITHANE,HÜRRİYET,28.981522601944608,41.07331943352498,151348188,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Seçkinler Parkı,İSTANBUL,BAHTİYAR,KAĞITHANE,ÇAĞLAYAN,28.977947833052557,41.075116055874965,151348275,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Sarp Parkı (Turna Parkı),İSTANBUL,KAĞITHANE,KAĞITHANE,GÜRSEL,28.977947833052557,41.075116055874965,151348194,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Taş Ocağı Parkı,İSTANBUL,TAŞOCAĞI,KAĞITHANE,HÜRRİYET,28.981522732210227,41.075116055874965,151348184,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Çağlayan Taşocağı Parkı,İSTANBUL,TAŞLIK,KAĞITHANE,ÇAĞLAYAN,28.982714365262783,41.075116055874965,151348277,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
İETT Kağıthane Peronu ve Havalimanı Metrosu  ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YILDIZHAN,KAĞITHANE,ÇAĞLAYAN,28.977947849336864,41.07601436704996,151348279,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Zuhal Ortaokulu Bahçesi,İSTANBUL,NEŞE,KAĞITHANE,ÇAĞLAYAN,28.980331148010592,41.07601436704996,151348284,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
Akça Parkı,İSTANBUL,TAYFUN,KAĞITHANE,ÇAĞLAYAN,28.98390629144617,41.07781098939994,151348273,"[<POLYGON ((28.979 41.08, 28.978 41.08, 28.978 41.079, 28.979 41.078, 28.978 ...>]"
