tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Hüseyin Güvenir Sokak Çocuk Parkı,İSTANBUL,MİLLET,SİLİVRİ,ÇANTA SANCAKTEPE,28.108853254872315,41.07200791117499,151349130,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Abdullah Akbulut Caddesi Dergah Sokak Çocuk Parkı,İSTANBUL,MİLLET,SİLİVRİ,ÇANTA SANCAKTEPE,28.108853254872315,41.07200791117499,151349133,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Abdullah Akbulut Caddesi Spor Alanı,İSTANBUL,MİLLET,SİLİVRİ,ÇANTA SANCAKTEPE,28.108853254872315,41.07200791117499,151349134,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
İrfan Sırdaş İlkokulu Arkası Fidanlık Alanı,İSTANBUL,SÖĞÜTLÜ DERE,SİLİVRİ,SEMİZKUMLAR,28.110044831587075,41.07200791117499,151349104,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Altaş Sokak Çocuk Parkı,İSTANBUL,SÖĞÜTLÜ DERE,SİLİVRİ,SEMİZKUMLAR,28.114812945802836,41.07470284469997,151349103,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
İSKİ Eğitim ve Sosyal Tesisleri,İSTANBUL,SÖĞÜTLÜ DERE,SİLİVRİ,SEMİZKUMLAR,28.114812945802836,41.07470284469997,151349107,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Çanta Caddesi Çeltik Çocuk Parkı ve Spor Sahası,İSTANBUL,SAHİLBOYU,SİLİVRİ,ÇELTİK,28.112435395230015,41.0836859564499,151349175,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Atatürk Merkez Parkı,İSTANBUL,GÜNAY,SİLİVRİ,ÇANTA SANCAKTEPE,28.100521584547096,41.092669068199825,151349132,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Muhterem Lüle Sokak Çocuk Parkı,İSTANBUL,GÜNAY,SİLİVRİ,ÇANTA SANCAKTEPE,28.099330415522303,41.09446569054981,151349131,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Bağlar Caddesi Çocuk Parkı.,İSTANBUL,DEĞİRMEN,SİLİVRİ,YOLÇATI,28.113637744528575,41.09985555759977,151349101,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Yüzük Sokak Çocuk Parkı,İSTANBUL,TİREBOLU,SİLİVRİ,ÇANTA BALABAN,28.09576199786606,41.11422853639965,151349127,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Abdullah Bilgingüllüoğlu Özel Eğitim Meslek Okulu Bahçesi,İSTANBUL,GÜLÇİN ÇİFTLİĞİ,SİLİVRİ,SEYMEN,28.11723626290943,41.13129644872451,151349177,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
İstasyon Caddesi Parkı,İSTANBUL,SANCAKTEPE ÇIKMAZI,SİLİVRİ,BEYCİLER,28.09100623326893,41.158245783974294,151349141,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Mustafa Böpçe Parkı,İSTANBUL,ÇERKEZKÖY,SİLİVRİ,BÜYÜK ÇAVUŞLU,28.073109151679482,41.16004240632428,151349183,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Gazi Yiğit Caddesi Parkı,İSTANBUL,GÜLÇİN ÇİFTLİĞİ,SİLİVRİ,SEYMEN,28.119643009429407,41.16004240632428,151349176,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
Ahmet Elçin Spor Sahası,İSTANBUL,SANCAKTEPE ÇIKMAZI,SİLİVRİ,BEYCİLER,28.094590570056823,41.171720451599185,151349140,"[<POLYGON ((28.136 41.108, 28.135 41.108, 28.135 41.108, 28.134 41.109, 28.13...>]"
