tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Beykoz Anadolu Lisesi Bahçesi ve Çevresi Yeşil Alanlar,İSTANBUL,ÇENGELDERE,BEYKOZ,ÇENGELDERE,29.13599705620818,41.08641981117499,151346599,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Çengeldere Beyaz Cami Bahçesi (144018),İSTANBUL,ÇENGELDERE,BEYKOZ,ÇENGELDERE,29.13599705620818,41.08641981117499,151346598,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Gündoğdu Nene Hatun Ortaokulu Bahçesi,İSTANBUL,ÇENGELDERE,BEYKOZ,ÇENGELDERE,29.13599705620818,41.08641981117499,151346601,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Fatih Mahalle Parkı,İSTANBUL,ÇAVUŞBAŞI CUMHURİYET,BEYKOZ,FATİH,29.13242198210322,41.08911474469997,151346544,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Çavuşbaşı Erkek Öğrenci Yurdu Yanıdaki Halı Saha ve Çevresi,İSTANBUL,MÜCAHİT,BEYKOZ,YAVUZ SELİM,29.15030028560859,41.08911474469997,151346631,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Fatih Cami Bahçesi,İSTANBUL,ÇAVUŞBAŞI CUMHURİYET,BEYKOZ,FATİH,29.130038322373206,41.09001305587496,151346545,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Görele İlkokulu Bahçesi,İSTANBUL,VEDA,BEYKOZ,GÖRELE,29.16699165692692,41.09630123409991,151346622,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Göztepe Tabiat Parkı (OSB),İSTANBUL,İSTANBUL,BEYKOZ,FATİH,29.122887049891737,41.0980978564499,151346546,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Acarlar Colesium Bahçesi,İSTANBUL,İSTANBUL,BEYKOZ,ACARLAR,29.128847397169633,41.09899616762489,151346529,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Uğur Park,İSTANBUL,İSTANBUL,BEYKOZ,ACARLAR,29.145536323898778,41.09899616762489,151346527,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Acarlar Özel Ted İstanbul Koleji Vakfı Anaokulu Bahçesi,İSTANBUL,İSTANBUL,BEYKOZ,ACARLAR,29.125271247496634,41.09989447879988,151346530,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
125/2 Yerde Bulunan Meydan,İSTANBUL,POLONEZKÖY YOLU,BEYKOZ,ZERZAVATÇI,29.165803259032185,41.10169110114987,151346588,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
Zerzevatçı Mahallesi Camii Bahçesi,İSTANBUL,POLONEZKÖY YOLU,BEYKOZ,ZERZAVATÇI,29.159844770817312,41.10528434584984,151346589,"[<POLYGON ((29.169 41.098, 29.169 41.098, 29.169 41.099, 29.169 41.1, 29.166 ...>]"
