tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yıldız Teknik Üniversitesi Davutpaşa Kampüsü ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,GENÇOSMAN,28.8878039064873,41.01822461117499,151347363,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Eski Londra Asfaltı Askerlik Şubesi Karşısı Yeşil Alan,İSTANBUL,ESKİ LONDRA ASFALTI,ESENLER,ÇİFTE HAVUZLAR,28.8878039064873,41.01822461117499,151348027,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Saadet Sokak İspark,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,SANAYİ,28.8878039064873,41.01822461117499,151347959,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Tozkoparan Sosyal Meskenler Camii Bahçesi,İSTANBUL,ESKİ LONDRA ASFALTI,GÜNGÖREN,TOZKOPARAN,28.8901851129746,41.01822461117499,151347966,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Güngören Rehberlik Araştırma Merkezi Bahçesi,İSTANBUL,ESKİ LONDRA ASFALTI,GÜNGÖREN,TOZKOPARAN,28.89137571621825,41.01822461117499,151347972,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Mercan Sokak Parkı,İSTANBUL,ESKİ LONDRA ASFALTI,GÜNGÖREN,TOZKOPARAN,28.892566416887796,41.019122922349986,151347974,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Metro Parkı ve Yanındaki Spor Alanı,İSTANBUL,ESKİ LONDRA ASFALTI,GÜNGÖREN,TOZKOPARAN,28.896138275331694,41.019122922349986,151347963,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
75.Yıl Parkı,İSTANBUL,ESKİ LONDRA ASFALTI,GÜNGÖREN,TOZKOPARAN,28.897328894812993,41.019122922349986,151347962,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
YTÜ Yeni Açılan Metro Girişi Spor Tesisleri ve Yeşil Alanlar,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,GENÇOSMAN,28.8878040039176,41.02091954469997,151348010,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Sağlık İşleri Müdürlüğü Ek Hizmet Binası Çevresi (Veterinerlik),İSTANBUL,ESKİ LONDRA ASFALTI,ESENLER,ÇİFTE HAVUZLAR,28.894947915670407,41.02091954469997,151347352,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Çiftehavuzlar Parkı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YILDIZ,ESENLER,ÇİFTE HAVUZLAR,28.89375749107471,41.02271616704996,151347350,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Malazgirt Parkı,İSTANBUL,ŞEHİT ORGENERAL EŞREF BİTLİS,GÜNGÖREN,SANAYİ,28.887804166330852,41.025411100574935,151347955,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Atatürk İlkokulu Bahçesi,İSTANBUL,TOZKOPARAN,ESENLER,ÇİFTE HAVUZLAR,28.897330031654263,41.025411100574935,151347353,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Şehit Türkmen Tekin Parkı,İSTANBUL,YILDIZ,ESENLER,ÇİFTE HAVUZLAR,28.888994948226888,41.02630941174993,151347351,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
Ayvalıdere İlkokulu Bahçesi,İSTANBUL,YILDIZ,ESENLER,DAVUTPAŞA,28.891376690719884,41.029004345274906,151347314,"[<POLYGON ((28.899 41.028, 28.899 41.028, 28.899 41.028, 28.899 41.028, 28.89...>]"
