tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Şamdan Sokak Spor Alanı,İSTANBUL,OSMANLI,ÇATALCA,KALFA,28.448351043242024,41.30999761117499,151347087,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Sultan Süleyman Caddesi Spor Alanı,İSTANBUL,KARACAKÖY,ÇATALCA,BAŞAK,28.448351043242024,41.30999761117499,151347099,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Örencik Caddesi Yeşil Alan,İSTANBUL,KARACAKÖY,ÇATALCA,ÖRENCİK,28.448351043242024,41.30999761117499,151347069,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Çorluk Caddesi Yeşil Alan,İSTANBUL,DEĞİRMENDERE,ÇATALCA,ÇİFTLİKKÖY,28.4220428653885,41.314489167049956,151347079,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Örencik Meydan,İSTANBUL,ÖRENCİK,ÇATALCA,ÖRENCİK,28.448363175612737,41.324370589974876,151347070,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Belgrat Köy Meydanı,İSTANBUL,ÇAVDAR,ÇATALCA,BELGRAT,28.404105261284258,41.32886214584984,151347078,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Fatih Sultan Caddesi Yeşil Alan,İSTANBUL,AKAĞAÇ,ÇATALCA,BELGRAT,28.401713891391775,41.33784525759977,151347077,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Hisarbeyli Meydanı,İSTANBUL,HANDEGÜL ÇIKMAZI,ÇATALCA,HİSARBEYLİ,28.447181100901446,41.34143850229974,151347086,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Ormanlı Hisarbeyli Yolu Parkı,İSTANBUL,KARACAKÖY,ÇATALCA,ORMANLI,28.42564555748985,41.344133435824716,151347097,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
Ormanlı İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,KARACAKÖY,ÇATALCA,ORMANLI,28.438817568760793,41.3585064146246,151347098,"[<POLYGON ((28.456 41.381, 28.455 41.381, 28.455 41.382, 28.454 41.382, 28.45...>]"
