tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Adnan Kahveci Parkı,İSTANBUL,DUYUM,ARNAVUTKÖY,HADIMKÖY,28.646597231530503,41.16743841117499,151345392,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Barbaros Parkı,İSTANBUL,DUYUM,ARNAVUTKÖY,HADIMKÖY,28.646597231530503,41.16743841117499,151345384,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Şerife Bacı Parkı,İSTANBUL,DUYUM,ARNAVUTKÖY,HADIMKÖY,28.646597231530503,41.16743841117499,151345390,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Sazlıbosna Parkı,İSTANBUL,HARAÇÇI-HADIMKÖY YOLU,ARNAVUTKÖY,SAZLIBOSNA,28.65375768360441,41.17103165587496,151345405,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Çilingir Meydan Parkı,İSTANBUL,PİRİNÇCİ,ARNAVUTKÖY,ÇİLİNGİR,28.66449806720882,41.17103165587496,151345444,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Şehit Er Savaş Koyun Parkı,İSTANBUL,TINAZ,ARNAVUTKÖY,HARAÇÇI,28.68120533059346,41.17103165587496,151345408,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Ihlamur Parkı.,İSTANBUL,HARAÇÇI-HADIMKÖY YOLU,ARNAVUTKÖY,HACIMAŞLI,28.683594308069093,41.17462490057493,151345480,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Fedakar Sokak Parkı,İSTANBUL,KEBAN,ARNAVUTKÖY,HARAÇÇI,28.68120899647693,41.17731983409991,151441241,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Dursunköy Parkı,İSTANBUL,AKKAVAK,ARNAVUTKÖY,DURSUNKÖY,28.648984998113452,41.18001476762489,151345340,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Gardenya Parkı,İSTANBUL,KEBAN,ARNAVUTKÖY,HARAÇÇI,28.691955109515686,41.18360801232486,151345410,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Taşoluk TOKİ Piknik Alanı,İSTANBUL,MALTEPE,ARNAVUTKÖY,MEHMET AKİF ERSOY,28.67166814628519,41.19348943524978,151441259,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Hazerfen Parkı,İSTANBUL,AYDIN SAYILI,ARNAVUTKÖY,FATİH ,28.663311927944132,41.19438774642477,151345407,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Hasan Polatkan Parkı,İSTANBUL,ŞEHİT CENGİZ TONGUÇ,ARNAVUTKÖY,ADNAN MENDERES,28.67644466347382,41.19618436877476,151345416,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Çelebi Caddesi Parkı,İSTANBUL,EGEMEN,ARNAVUTKÖY,MEHMET AKİF ERSOY,28.691975934676577,41.211455658749635,151441257,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
Sultan Mehmet Parkı,İSTANBUL,BAĞDAT,ARNAVUTKÖY,FATİH ,28.681229966724917,41.21325228109962,151345406,"[<POLYGON ((28.689 41.218, 28.688 41.218, 28.688 41.218, 28.687 41.217, 28.68...>]"
