tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Spor Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.825108775574304,40.99360571117499,151346137,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
İBB BİMTAŞ Bahçesi,İSTANBUL,SANAYİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.825108775574304,40.99360571117499,151346143,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Mithatpaşa Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.825108775574304,40.99360571117499,151346141,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Kudret Saraçoğlu İmam Hatip Ortaokulu Bahçesi,İSTANBUL,SANAYİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.82629893409907,40.99360571117499,151346140,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Prof. Dr. Mümtaz Turhan Sosyal Bilimler Lisesi Bahçesi,İSTANBUL,DUMLUPINAR,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.82748909262384,40.99360571117499,151346093,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Bahçelievler Stadyumu,İSTANBUL,KIMIZ,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.828679251148607,40.99360571117499,151346089,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Sağlıklı Yaşam Parkı (Kuleli Parkı),İSTANBUL,FATİH,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.831059827684086,40.99540233352498,151346087,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
İHKİB Yenibosna Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,MİTHATPAŞA,BAHÇELİEVLER,ÇOBANÇEŞME,28.82867954307688,40.99630064469997,151346144,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Çobançeşme Şehit Sedat Mekan Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,ŞEHİT MAHİR AYABAK,BAHÇELİEVLER,ÇOBANÇEŞME,28.82867964039513,40.997198955874964,151346142,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Yenibosna Spor Kulübü,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.822728572062715,40.99989388939994,151346122,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Şehit İbrahim Koparır Parkı,İSTANBUL,FATİH,BAHÇELİEVLER,FEVZİ ÇAKMAK,28.828680029712167,41.000792200574935,151346088,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Piri Reis Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.82272860450874,41.00169051174993,151346135,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Akın Anaokulu Bahçesi,İSTANBUL,MARDİN,BAHÇELİEVLER,ÇOBANÇEŞME,28.82391890901748,41.00169051174993,151346138,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Şehit Oktay Demiryürek Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.822728636957706,41.00348713409991,151346103,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Altınyıldız Sağlık Ocağı Park,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.822728636957706,41.00348713409991,151346107,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Şehit Güven Köse Parkı,İSTANBUL,SELVİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.825109310873117,41.00348713409991,151346136,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Ata Ortaokulu Bahçesi,İSTANBUL,AŞİYAN 1,BAHÇELİEVLER,ÇOBANÇEŞME,28.82391903881922,41.0052837564499,151346145,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Behriye Dr. Nevhiz Işıl İlkokulu Bahçesi,İSTANBUL,KANDİLLİ,BAHÇELİEVLER,ÇOBANÇEŞME,28.82868051645766,41.0052837564499,151346139,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Serdar Sokak Parkı,İSTANBUL,YILDIRIM BEYAZIT,BAHÇELİEVLER,ZAFER,28.83106125527688,41.0052837564499,151346150,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Türkiye Gazetesi Çok Programlı Anadolu Lisesi Bahçesi,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.822728685636665,41.00618206762489,151346132,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Nezih Alkış Parkı,İSTANBUL,REYHAN 1,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.829870999456656,41.00618206762489,151346101,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
İlhan Koç Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.823919136185964,41.00797868997488,151346111,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
Şehit Er Gürol Alpago Parkı,İSTANBUL,SANAYİ,BAHÇELİEVLER,YENİBOSNA MERKEZ,28.822728750552237,41.00977531232486,151346105,"[<POLYGON ((28.825 40.993, 28.829 40.993, 28.83 40.994, 28.83 40.995, 28.83 4...>]"
