tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Orhan Veli Kanık Parkı,İSTANBUL,ORHAN VELİ KANIK,BEYKOZ,KAVACIK,29.086885515417425,41.095413911174994,151346552,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Vatan Cad. Refüj,İSTANBUL,ORHAN VELİ KANIK,BEYKOZ,ÇUBUKLU,29.086885515417425,41.095413911174994,151346620,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Ahmet Hamdi Akseki Camii Bahçesi,İSTANBUL,ORHAN VELİ KANIK,BEYKOZ,ÇUBUKLU,29.086885515417425,41.095413911174994,151346614,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Medipol Üniversitesi Bahçesi,İSTANBUL,ORHAN VELİ KANIK,BEYKOZ,KAVACIK,29.089269517789337,41.095413911174994,151346557,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Belediye Parkı (Aras Kargo Önü)),İSTANBUL,YAVUZ SULTAN SELİM,BEYKOZ,RÜZGARLIBAHÇE,29.090461518975292,41.095413911174994,151346537,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Celal Aras Anadolu Lisesi Bahçesi,İSTANBUL,YAVUZ SULTAN SELİM,BEYKOZ,RÜZGARLIBAHÇE,29.09165352016125,41.095413911174994,151346538,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Engürbağ Camii Bahçesi,İSTANBUL,GÜN,BEYKOZ,ÇUBUKLU,29.0833096748695,41.09631222234999,151346616,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Atatürk İlkokulu Bahçesi.,İSTANBUL,POLATLI,BEYKOZ,ÇUBUKLU,29.08926976230425,41.09631222234999,151346615,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Kanlıca Spor Kulübü,İSTANBUL,SERA,BEYKOZ,KANLICA,29.08211780409815,41.09721053352498,151346602,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Tekke Parkı,İSTANBUL,HİDİV KASRI,BEYKOZ,KANLICA,29.079733964760567,41.099007155874965,151346605,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Telli Hüseyin Parkı,İSTANBUL,ALEVLİ,BEYKOZ,ÇUBUKLU,29.0821180975493,41.099007155874965,151346619,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Şehit Görkem Taş Parkı,İSTANBUL,HİCRAN,BEYKOZ,ÇUBUKLU,29.085694296732402,41.099007155874965,151346613,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Meliha Teyze Parkı,İSTANBUL,ALEVLİ,BEYKOZ,ÇUBUKLU,29.08211824428482,41.09990546704996,151346617,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Bahattin Özyazıcı İlkokulu Bahçesi,İSTANBUL,KİREMİTDERE,BEYKOZ,RÜZGARLIBAHÇE,29.094039071267957,41.09990546704996,151346536,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Şehit Furkan Doğan Parkı,İSTANBUL,HİDİV KASRI,BEYKOZ,KANLICA,29.078542094018015,41.10080377822495,151346604,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Şehit Er Murat Öndin Parkı,İSTANBUL,LAHZA,BEYKOZ,ÇUBUKLU,29.09284728205405,41.10080377822495,151346612,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Mültezem Camii  Bahçesi,İSTANBUL,SAPAN,BEYKOZ,ÇUBUKLU,29.09403938105705,41.10080377822495,151346618,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Ormancı Sitesi Parkı,İSTANBUL,HİDİV KASRI,BEYKOZ,KANLICA,29.073773763229195,41.102600400574936,151346603,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Çubuklu Spor Kulübü Sahası,İSTANBUL,BAHÇELİ ÇIKMAZI,BEYKOZ,ÇUBUKLU,29.082118831293535,41.10349871174993,151346621,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Dedeoğlu Parkı,İSTANBUL,YAZICISUYU,BEYKOZ,ÇUBUKLU,29.08688742297955,41.10349871174993,151346649,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Seyfi Baba Parkı,İSTANBUL,ŞEHİT METİN KAYA,BEYKOZ,RÜZGARLIBAHÇE,29.097616754273087,41.10349871174993,151346535,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Çiğdem Spor Tesisi,İSTANBUL,DEDEOĞLU,BEYKOZ,ÇİĞDEM,29.09642494881213,41.10439702292492,151346559,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Çiğdem Merkez Camii Önü,İSTANBUL,DEDEOĞLU,BEYKOZ,ÇİĞDEM,29.098809652363258,41.105295334099914,151346560,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Beykoz Konakları Vakfı Güler Keçeli Anaokulu Bahçesi,İSTANBUL,ÇUBUKLU ÇİFTLİK YOLU,BEYKOZ,SOĞUKSU,29.10000183290079,41.105295334099914,151346492,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
Şehit Er Yasin Yılmaz Parkı,İSTANBUL,BARBAROS,BEYKOZ,ÇİĞDEM,29.089272697347766,41.1070919564499,151346558,"[<POLYGON ((29.071 41.106, 29.072 41.105, 29.072 41.105, 29.072 41.105, 29.07...>]"
