tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pendik Köprüsü Bağlantı Yolu Kolları İçerisinde Kalan Alan,İSTANBUL,D 100,PENDİK,BAHÇELİEVLER,29.236999424715307,40.88934091117499,151350172,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Elka İlköğretim Okulu Bahçesi,İSTANBUL,D 100,PENDİK,ORTA,29.236999424715307,40.88934091117499,151350311,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Zübeyde Hanım İlkokul-Ortaokul Bahçesi,İSTANBUL,D 100,PENDİK,ÇINARDERE,29.236999424715307,40.88934091117499,151350136,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Ahmet Kutsi Tecer İlkokulu Bahçesi,İSTANBUL,ANKARA,PENDİK,ORTA,29.238187705894134,40.88934091117499,151350310,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Bakır Sokak Parkı,İSTANBUL,D 100,PENDİK,BAHÇELİEVLER,29.23581119193399,40.89023922234998,151350171,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Ahmet Keleşoğlu  Parkı,İSTANBUL,D 100,PENDİK,YEŞİLBAĞLAR,29.23462292688913,40.891137533524976,151350274,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
50. Yıl Caddesi Kemal Kalkut Parkı,İSTANBUL,ANKARA,PENDİK,ORTA,29.239376180667392,40.891137533524976,151350312,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Şehit Fethi Parkı,İSTANBUL,D 100,PENDİK,BAHÇELİEVLER,29.23343462957853,40.89203584469997,151350168,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
700. Yıl Parkı,İSTANBUL,TEPECİK,PENDİK,ÇINARDERE,29.239376277471173,40.89203584469997,151350378,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Şehit  Mehmet Altay Parkı,İSTANBUL,ANKARA,PENDİK,ORTA,29.240564719992545,40.89293415587496,151350309,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Kayalı Tepe Parkı,İSTANBUL,KISMET,PENDİK,ÇINARDERE,29.239376471091866,40.893832467049954,151350133,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Faruk Demirbağ İlkokul-Ortaokul Bahçesi,İSTANBUL,ATILGAN,PENDİK,ÇINARDERE,29.244129918486443,40.893832467049954,151350134,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Divane Zülfer Parkı,İSTANBUL,KUŞKONMAZ,PENDİK,DUMLUPINAR,29.245318280335088,40.893832467049954,151350198,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Hürriyet Kız Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,SEVDA,KARTAL,HÜRRİYET,29.2358114339544,40.89473077822495,151348528,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Ethem Sıral Kaptan Parkı,İSTANBUL,SEVDA,KARTAL,HÜRRİYET,29.236999876486735,40.89562908939994,151348526,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Kırımlı Fazilet Olcay Lisesi Bahçesi,İSTANBUL,OLİMPİYAT,PENDİK,ÇINARDERE,29.24531863533852,40.89562908939994,151350135,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Pendik Spor Tesisleri,İSTANBUL,ÖZÇELİK,PENDİK,ÇINARDERE,29.246507029460204,40.89562908939994,151350137,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
450. Konutlar Parkı,İSTANBUL,ANKARA,PENDİK,ÇINARDERE,29.24888381770357,40.89562908939994,151350381,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Mevlana Parkı,İSTANBUL,GENÇLİK,PENDİK,ÇINARDERE,29.25007245388949,40.89652740057493,151350380,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
Ömer Nasuhi Bilmen İmam Hatip Ortaokulu Bahçesi,İSTANBUL,GÖZDAĞI,PENDİK,VELİBABA,29.25126086414879,40.89652740057493,151350332,"[<POLYGON ((29.247 40.894, 29.247 40.894, 29.247 40.894, 29.248 40.895, 29.24...>]"
