tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İBB Kutlu Doğum Parkı,İSTANBUL,DEREİÇİ,EYÜPSULTAN,ÇIRÇIR,28.936859075118896,41.07703691117499,151347524,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit Soner Baykuş Parkı,İSTANBUL,SAYA YOLU,EYÜPSULTAN,KARADOLAP,28.936859075118896,41.07703691117499,151347555,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Akşesettin Şehit Hacı Ahmet Bahçesi Polis Merkezi Çevresi,İSTANBUL,DEREİÇİ,EYÜPSULTAN,ÇIRÇIR,28.936859075118896,41.07703691117499,151347525,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Hüseyin Çatalkaş Parkı,İSTANBUL,FUNDA,EYÜPSULTAN,ÇIRÇIR,28.938050742993024,41.07703691117499,151347531,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit Adem Yaşari Parkı,İSTANBUL,SAYA YOLU,EYÜPSULTAN,KARADOLAP,28.939242410867152,41.07703691117499,151347558,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Uludağ Parkı,İSTANBUL,VEFALI,EYÜPSULTAN,ÇIRÇIR,28.94043407874128,41.07703691117499,151347527,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şelale Çay Bahcesi,İSTANBUL,NAMIK KEMAL,EYÜPSULTAN,ALİBEYKÖY,28.941625746615408,41.07703691117499,151347540,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit İbrahim Candemir Parkı,İSTANBUL,SAYA YOLU,EYÜPSULTAN,ÇIRÇIR,28.93447582080008,41.077935222349986,151347526,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit Ali Bekdemir Parkı,İSTANBUL,GÜNDOĞDU,EYÜPSULTAN,ÇIRÇIR,28.939242557440146,41.077935222349986,151347529,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit Halit Aydın Parkı,İSTANBUL,GÜNGÖREN,EYÜPSULTAN,ALİBEYKÖY,28.94400971754203,41.07973184469997,151347541,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Veysel Karani Parkı ve Parseller Futbol Sahası,İSTANBUL,MUSTAFA KEMAL,EYÜPSULTAN,AKŞEMSETTİN,28.930900866044208,41.080630155874964,151347499,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Şehit Adil Hışt Parkı,İSTANBUL,DİCLE,EYÜPSULTAN,ÇIRÇIR,28.929709149310945,41.08152846704996,151347532,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Ertuğrul Gazi Parkı,İSTANBUL,ÖNCÜ,EYÜPSULTAN,ÇIRÇIR,28.9392431437985,41.08152846704996,151347528,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Gaye Sokak Parkı,İSTANBUL,NAR,EYÜPSULTAN,ÇIRÇIR,28.932092745672506,41.08332508939994,151347533,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
İBB Asım Yıldız Parkı,İSTANBUL,NUR,EYÜPSULTAN,ÇIRÇIR,28.936859873235846,41.08332508939994,151347530,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Lale Parkı,İSTANBUL,ŞEHİT ÖMER HALİSDEMİR,EYÜPSULTAN,AKŞEMSETTİN,28.93090099636378,41.084223400574935,151347503,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
Leylak Pakı,İSTANBUL,ŞEHİT ÖMER HALİSDEMİR,EYÜPSULTAN,AKŞEMSETTİN,28.93090099636378,41.084223400574935,151347504,"[<POLYGON ((28.942 41.077, 28.943 41.077, 28.943 41.077, 28.943 41.078, 28.94...>]"
