tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Cumhuriyet Futbol Sahası,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.233215428747613,41.13673621117499,151346635,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Cumhuriyet Köy Parkı,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.233215428747613,41.13673621117499,151346636,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Polonezköy Parkı,İSTANBUL,DÜNYA,BEYKOZ,POLONEZKÖY,29.233215428747613,41.13673621117499,151346623,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Öğümce Stadı,İSTANBUL,ÖĞÜMCE YOLU,BEYKOZ,ÖĞÜMCE,29.23679368413779,41.13673621117499,151346630,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Mahmut Şevket Paşa Parkı,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.217709704395244,41.137634522349984,151346593,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Mahmut Şevket Paşa Mahallesi Selam Cami Bahçesi,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.217709704395244,41.137634522349984,151346650,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
İETT Firuzbey İÖO Durağı,İSTANBUL,ÖĞÜMCE YOLU,BEYKOZ,PAŞAMANDIRA,29.234408735947717,41.13853283352498,151346625,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Derekenarı Yürüyüş Yolu,İSTANBUL,PAŞA,BEYKOZ,MAHMUTŞEVKETPAŞA,29.216517001608025,41.13943114469997,151346594,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Değirmendere Cami Çevresi,İSTANBUL,ÖĞÜMCE YOLU,BEYKOZ,PAŞAMANDIRA,29.226060224976408,41.14392270057493,151346624,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Seniye İsmail Hanım Cad. No44 Yanı,İSTANBUL,KARAPINAR,BEYKOZ,ÖĞÜMCE,29.25469273885105,41.14931256762489,151346629,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Bozhane Futbol Sahası (0321 parsel),İSTANBUL,KAPADOKYA,BEYKOZ,BOZHANE,29.26065764162326,41.14931256762489,151346606,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
Muhtarlık Binası Önü (0/153),İSTANBUL,DEREBOYU YOLU,BEYKOZ,GÖLLÜ,29.252318290380188,41.16907541347473,151346626,"[<POLYGON ((29.269 41.175, 29.269 41.175, 29.269 41.176, 29.269 41.176, 29.26...>]"
