tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İstanbul Üniversitesi Ana Toplanma Alanı ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,ÜNİVERSİTE,28.72714988937622,40.983250511174994,151345727,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Abdulkadir Uztürk İlkokul-Ortaokul Bahçesi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.72714988937622,40.983250511174994,151345719,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Sabancı 50. Yıl İnsa Lisesi Bahçesi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.72714988937622,40.983250511174994,151345718,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Borusan Oto Zehra-Nurhan Kocabıyık Ortaokulu Bahçesi,İSTANBUL,DEĞİRMEN,AVCILAR,ÜNİVERSİTE,28.728339861008234,40.983250511174994,151345728,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Gümüşpala Kapalı Semt Pazarı ve Boş Alan,İSTANBUL,İSKECE,AVCILAR,GÜMÜŞPALA,28.737860071708397,40.98414882234999,151345781,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Kırmızı Fener Sokağı Toplanma Alanı,İSTANBUL,İSKECE,AVCILAR,GÜMÜŞPALA,28.737860071708397,40.98414882234999,151345755,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Gümüşpala Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,İSKECE,AVCILAR,GÜMÜŞPALA,28.737860071708397,40.98414882234999,151345757,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Avcılar Müftülüğü Bahçesi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.723580460762346,40.98504713352498,151345715,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Avcılar Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.723580460762346,40.98504713352498,151345716,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Mustafa Tete Parkı,İSTANBUL,İSKECE,AVCILAR,GÜMÜŞPALA,28.735480501270576,40.98504713352498,151345754,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
Avcılar Polis Merkezi Amirliği Çevresi,İSTANBUL,E-5 YANYOL (LONDRA ASFALTI),AVCILAR,MERKEZ,28.722390683658617,40.98594544469997,151345714,"[<POLYGON ((28.712 41.001, 28.709 40.999, 28.709 40.998, 28.708 40.998, 28.70...>]"
