tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Nazım Hikmet Parkı,İSTANBUL,PAZARYOLU,ESENYURT,ÜÇEVLER,28.678923737878595,41.02243151117499,151347473,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Oba Evleri Parkı,İSTANBUL,PAZARYOLU,ESENYURT,AKEVLER,28.678923737878595,41.02243151117499,151347402,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Erdoğanlar İlköğretim Okulu Bahçesi,İSTANBUL,PAZARYOLU,ESENYURT,AKEVLER,28.678923737878595,41.02243151117499,151347403,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Lale Parkı,İSTANBUL,911.,ESENYURT,ÜÇEVLER,28.68011441717146,41.02243151117499,151347474,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
348. Sokak Toplanma Alanı,İSTANBUL,DOĞAN ARASLI,ESENYURT,İNÖNÜ,28.680114547103138,41.02422813352498,151347478,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Eski Belediye Binası Altı Otoban Yanı Yeşil Alan,İSTANBUL,DOĞAN ARASLI,ESENYURT,SULTANİYE,28.681305258878922,41.02422813352498,151347374,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Fatih Parkı,İSTANBUL,887.,ESENYURT,FATİH,28.677733156036695,41.02512644469997,151347386,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Kamer Özyurt İlköğretim Okulu Bahçesi,İSTANBUL,903.,ESENYURT,ÜÇEVLER,28.681305421308245,41.026024755874964,151347475,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Mustafa Yeşil Ortaokulu Bahçesi,İSTANBUL,930.,ESENYURT,FATİH,28.676542476750456,41.02782137822495,151439940,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
Esenyurt Anadolu Lisesi Bahçesi,İSTANBUL,939.,ESENYURT,FATİH,28.680114936968828,41.029618000574935,151347388,"[<POLYGON ((28.681 41.022, 28.681 41.023, 28.681 41.023, 28.682 41.024, 28.68...>]"
