tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Bağlarbaşı Parkı,İSTANBUL,CUMHURİYET,ÜSKÜDAR,SELAMİ ALİ,29.036292645217692,41.02472421117499,151350876,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Devrim Sokak Parkı,İSTANBUL,CUMHURİYET,ÜSKÜDAR,SELAMİ ALİ,29.036292645217692,41.02472421117499,151350918,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Kurt Çelebi Parkı,İSTANBUL,AYARCIBAŞI,ÜSKÜDAR,İCADİYE,29.036292645217692,41.02472421117499,151350729,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Gümüşyolu Parkı,İSTANBUL,İCADİYE BAĞLARBAŞI,ÜSKÜDAR,ALTUNİZADE,29.037483365963077,41.02472421117499,151350848,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Şehit Sinan Gümüştaş Parkı,İSTANBUL,KURTÇELEBİ,ÜSKÜDAR,İCADİYE,29.036292758918467,41.025622522349984,151350724,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Çınaraltı Parkı,İSTANBUL,TEMAŞA,ÜSKÜDAR,İCADİYE,29.035102119392356,41.02652083352498,151350892,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Kuruçeşme Parkı,İSTANBUL,TEMAŞA,ÜSKÜDAR,İCADİYE,29.035102119392356,41.02652083352498,151350726,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
İmam Galip Parkı,İSTANBUL,HAŞACI RAİF,ÜSKÜDAR,İCADİYE,29.036292872624415,41.02652083352498,151350728,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Selami Ali Fahreddin Tivnikli Cami Bahçesi,İSTANBUL,CUMHURİYET,ÜSKÜDAR,SELAMİ ALİ,29.032720677906006,41.02741914469997,151350882,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Koç Holding Sosyal Tesisleri,İSTANBUL,İMAM GALİP,ÜSKÜDAR,KUZGUNCUK ,29.039865294765015,41.02741914469997,151350908,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Üsküdar Anadolu Lisesi Bahçesi,İSTANBUL,YAPMABEBEK,ÜSKÜDAR,İCADİYE,29.02914838572168,41.02831745587496,151350731,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Bakü Parkı,İSTANBUL,CUMHURİYET,ÜSKÜDAR,SELAMİ ALİ,29.02914838572168,41.02831745587496,151350877,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Fevziye Meriç Çocuk Akademisi Bahçesi,İSTANBUL,YAPMABEBEK,ÜSKÜDAR,İCADİYE,29.02914838572168,41.02831745587496,151350727,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Kerpiçhane Parkı,İSTANBUL,CUMHURİYET,ÜSKÜDAR,SELAMİ ALİ,29.03033917144336,41.02831745587496,151350878,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Dereiçi Park,İSTANBUL,KUZGUNCUK DERESİ,ÜSKÜDAR,KUZGUNCUK ,29.037483885773433,41.02831745587496,151350837,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Arifbey Sokak Parkı,İSTANBUL,SUDE,ÜSKÜDAR,KUZGUNCUK ,29.029148401967596,41.029215767049955,151350730,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
İcadiye Parkı,İSTANBUL,MAKASTAR,ÜSKÜDAR,İCADİYE,29.032720807870383,41.029215767049955,151350725,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Fethi Paşa Korusu,İSTANBUL,SUDE,ÜSKÜDAR,KUZGUNCUK ,29.029148418214245,41.03011407822495,151350839,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Kuzguncuk Parkı,İSTANBUL,BEHLÜL ARALIĞI,ÜSKÜDAR,KUZGUNCUK ,29.031530054642733,41.03011407822495,151350885,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Simitçi Tahir Parkı,İSTANBUL,İCADİYE,ÜSKÜDAR,KUZGUNCUK ,29.032720872856977,41.03011407822495,151350838,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
Kuzguncuk Bostanı,İSTANBUL,BEHLÜL ARALIĞI,ÜSKÜDAR,KUZGUNCUK ,29.031530152129264,41.03191070057493,151350907,"[<POLYGON ((29.028 41.03, 29.028 41.029, 29.028 41.028, 29.028 41.028, 29.028...>]"
