tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pınarca Caddesi Spor Alanı,İSTANBUL,BEKİRLİ,ÇATALCA,İHSANİYE,28.328643674886816,41.23963091117499,151347060,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
İncirli Caddesi Çocuk Parkı,İSTANBUL,BEKİRLİ,SİLİVRİ,BEKİRLİ,28.328643674886816,41.23963091117499,151349160,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
İhsaniye Meydanı,İSTANBUL,BEKİRLİ,ÇATALCA,İHSANİYE,28.328643674886816,41.23963091117499,151347061,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,BEYPINARLAR,ÇATALCA,KABAKÇA,28.33581144093399,41.23963091117499,151347084,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Önder Atatürk Caddesi Pazar Alanı,İSTANBUL,LİMONLU,ÇATALCA,GÜMÜŞPINAR,28.307144812790458,41.263885312899795,151347101,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Gümüşpınar Meydanı,İSTANBUL,LİMONLU,ÇATALCA,GÜMÜŞPINAR,28.302365119589954,41.26927517994975,151347102,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Belediye Düğün ve Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,AKALAN,28.372882283419386,41.27107180229974,151347106,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
İhsaniye Köyü Futbol Sahası Ve Etrafı,İSTANBUL,DEREBOYU,EYÜPSULTAN,İHSANİYE,28.79745197774987,41.22338581117499,151347595,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Işıklar Köyü Hazar Sokak ile Rüya Sokak Sokak Arası Boş Alan,İSTANBUL,CENAP,EYÜPSULTAN,IŞIKLAR,28.79745197774987,41.22338581117499,151347597,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Mavigöl Parkı,İSTANBUL,SÜMELA,ARNAVUTKÖY,MAVİGÖL,28.79745197774987,41.22338581117499,151345477,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Rabia Parkı,İSTANBUL,SÜMELA,ARNAVUTKÖY,MAVİGÖL,28.79148117682193,41.2350638564499,151345342,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Akpınar Parkı.,İSTANBUL,AKPINAR KÖY YOLU,EYÜPSULTAN,AKPINAR,28.808204795698682,41.2350638564499,151347593,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
Odayeri Nalan Sokak Parkı,İSTANBUL,ODAYERİ KÖYÜ YOLU,EYÜPSULTAN,ODAYERİ,28.809399339904164,41.2350638564499,151347587,"[<POLYGON ((28.318 41.244, 28.319 41.243, 28.324 41.242, 28.325 41.242, 28.32...>, <POLYGON ((28.799 41.223, 28.8 41.222, 28.801 41.223, 28.803 41.224, 28.804 ...>]"
