tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Karamandere A.K.A Alanı Tapulama Harici Alan,İSTANBUL,NEBİ,ŞİLE,KARAMANDERE,29.59834154954569,41.124255611174995,151348991,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Ovacık Camii ve Park Alanı,İSTANBUL,YEŞİLDERE,ŞİLE,OVACIK,29.59834154954569,41.124255611174995,151348995,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
İmrendere Melen İsale Hattı Kamulaştırma Sahası,İSTANBUL,YEŞİLDERE,ŞİLE,İMRENDERE,29.59834154954569,41.124255611174995,151349058,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Yeniköy S.T.K Alanı,İSTANBUL,YAVAN TEPE,ŞİLE,YENİKÖY,29.623385895319068,41.12695054469997,151348979,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Çayırbaşı Fatma Seher Ortaokulu ve Bahçesi,İSTANBUL,MISRA,ŞİLE,ÇAYIRBAŞI,29.624578469219774,41.12695054469997,151349035,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Ahmetli Ali Osman Keçeçi Okul Bahçesi,İSTANBUL,İDEAL,ŞİLE,AHMETLİ,29.595956760910656,41.127848855874966,151349012,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Üzüm Sokak Parkı,İSTANBUL,ATLAS ÇİÇEĞİ,ŞİLE,BALİBEY,29.625776726318254,41.137730278799886,151349054,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Bayrak Parkı,İSTANBUL,ANAFARTALAR,ŞİLE,ÇAVUŞ,29.6186204828043,41.13862858997488,151349016,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Mercanköşk Çavuş Koruluğu,İSTANBUL,ANAFARTALAR,ŞİLE,ÇAVUŞ,29.621008097479983,41.14312014584984,151349018,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Kocakoru Parkı,İSTANBUL,ÜSKÜDAR,ŞİLE,KUMBABA,29.59237941498845,41.15120494642478,151348997,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Mesut Sokak Parkı,İSTANBUL,ANAFARTALAR,ŞİLE,ÇAVUŞ,29.61623971475742,41.15120494642478,151349019,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
Tavanlı Parkı,İSTANBUL,BAHÇECİK,ŞİLE,BALİBEY,29.635327954572595,41.15120494642478,151349050,"[<POLYGON ((29.603 41.123, 29.605 41.126, 29.606 41.126, 29.607 41.126, 29.60...>]"
