tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pazar Alanı(Kadıköy Caddesi),İSTANBUL,İNCEĞİZ,ÇATALCA,ELBASAN,28.395987194566775,41.159297211174994,151347059,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Arif Nihat Asya Parkı (İnceğiz Meydan),İSTANBUL,İNCEĞİZ,ÇATALCA,İNCEĞİZ,28.395987194566775,41.159297211174994,151347104,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Elbasan Köy Meydanı,İSTANBUL,İNCEĞİZ,ÇATALCA,ELBASAN,28.395987194566775,41.159297211174994,151347108,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
İnceğiz Yeşil Alan,İSTANBUL,İNCEĞİZ,ÇATALCA,İNCEĞİZ,28.395987587054012,41.16019552234999,151347105,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Bağlar Caddesi Çocuk Parkı,İSTANBUL,MAĞAZACI,SİLİVRİ,KADIKÖY,28.38525094224537,41.16738201174993,151349093,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Kaleiçi Mahallesi Yeşil Alan (1-Ada-1-Parsel),İSTANBUL,BİLİM,ÇATALCA,KALEİÇİ,28.409119422505132,41.1709752564499,151347056,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Gökçeali Mahallesi Yeşil Alan (112 Ada 49 Parsel),İSTANBUL,GÖLHİSAR ÇIKMAZI,ÇATALCA,GÖKÇEALİ,28.42702659278621,41.17816174584984,151347095,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Gökçeali İlkokulu Bahçesi,İSTANBUL,CEVİZLİK,ÇATALCA,GÖKÇEALİ,28.431800616209106,41.17816174584984,151347096,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Kabakça İlkokulu Bahçesi,İSTANBUL,HANİCE,ÇATALCA,KABAKÇA,28.379286685948973,41.17995836819983,151347084,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Leyla Kavak Caddesi Spor Sahası,İSTANBUL,CEDİD ALİPAŞA,SİLİVRİ,AKÖREN,28.375706184759196,41.18085667937482,151437334,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Belediye Düğün ve Spor Alanı,İSTANBUL,GÖÇMEN ÇIKMAZI,ÇATALCA,AKALAN,28.40795556900355,41.218585748724514,151347106,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
Yedievler Sokak Spor Alanı,İSTANBUL,İSTANBUL,ÇATALCA,SUBAŞI,28.41512759064435,41.22756886047444,151347088,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
İhsaniye Meydanı,İSTANBUL,ZAMBAK,ÇATALCA,İHSANİYE,28.39721353310213,41.232060416349405,151347061,"[<POLYGON ((28.417 41.224, 28.416 41.225, 28.416 41.225, 28.416 41.226, 28.41...>]"
