tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yaman Evler Parkı,İSTANBUL,YELKENCİLER,ÜMRANİYE,İNKILAP,29.101745114311864,41.029898311174996,151349664,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Ümraniye Belediyesi Bahçesi,İSTANBUL,FATİH SULTAN MEHMET,ÜMRANİYE,ATATÜRK,29.101745114311864,41.029898311174996,151349762,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
29 Mayıs Üniversitesi Bahçesi,İSTANBUL,FATİH SULTAN MEHMET,ÜMRANİYE,ELMALIKENT,29.101745114311864,41.029898311174996,151349656,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Ümraniye Merkez Anadolu Lisesi Bahçesi,İSTANBUL,DÜZ,ÜMRANİYE,YAMANEVLER,29.10293592862373,41.029898311174996,151349727,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
İspark Otoparkı Yanı,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,YAMANEVLER,29.104126742935595,41.029898311174996,151349728,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
İspark Otoparkı,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,YAMANEVLER,29.106508371559325,41.029898311174996,151349726,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Hüseyin Kaplan Parkı,İSTANBUL,AHMET TEVFİK İLERİ,ÜMRANİYE,İNKILAP,29.108890000183056,41.029898311174996,151349662,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Dere Parkı,İSTANBUL,HAŞİM İŞCAN,ÜMRANİYE,İNKILAP,29.110081334440963,41.03349155587497,151349663,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Ahmet Yavuz İlkokulu Bahçesi,İSTANBUL,ERZURUM,ÜMRANİYE,KAZIM KARABEKİR,29.10650877777636,41.03438986704996,151349861,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Ümraniye Millet Bahçesi,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,SARAY,29.111272359997447,41.03438986704996,151349796,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Karacaoğlan Parkı,İSTANBUL,ERZURUM,ÜMRANİYE,KAZIM KARABEKİR,29.10531807724061,41.03708480057494,151349860,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
İnkılap Ormanı,İSTANBUL,KÖPRÜBAŞI,ÜMRANİYE,HEKİMBAŞI,29.113655402596628,41.04067804527491,151349878,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Kocatepe Parkı,İSTANBUL,KÜÇÜKSU,ÜMRANİYE,İNKILAP,29.11722956860381,41.04516960114987,151349665,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Çanakkale Zafer Parkı,İSTANBUL,AZİZ MAHMUT HÜDAYİ,ÜMRANİYE,TOPAĞACI,29.111274408212772,41.04696622349986,151349732,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Hekimbaşı Spor Tesisleri,İSTANBUL,KÖPRÜBAŞI,ÜMRANİYE,HEKİMBAŞI,29.111275140033136,41.05145777937482,151349797,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
Yenimahalle Kent Ormanı,İSTANBUL,KÜÇÜKSU_1,BEYKOZ,YENİ MAHALLE,29.110084586239424,41.055949335249785,151346647,"[<POLYGON ((29.108 41.053, 29.108 41.054, 29.108 41.054, 29.109 41.054, 29.10...>]"
