tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İshaklı Köyü Parkı,İSTANBUL,ZÜMRA ÇIKMAZI,BEYKOZ,İSHAKLI,29.311802296907874,41.12589621117499,151346590,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Vali Recep Yazıcıoğlu İlkokulu Bahçesi,İSTANBUL,ZEYNEP,ÇEKMEKÖY,HÜSEYİNLİ,29.311802296907874,41.12589621117499,151347253,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Hüseyinli Parkı,İSTANBUL,ZEYNEP,ÇEKMEKÖY,HÜSEYİNLİ,29.311802296907874,41.12589621117499,151347254,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Orman Gülü Parkı,İSTANBUL,MOSTAR,ÇEKMEKÖY,ÖMERLİ,29.351156603293678,41.12589621117499,151347250,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Sırapınar Halı Sahası,İSTANBUL,LEYLAK,ÇEKMEKÖY,SIRAPINAR,29.351156603293678,41.12589621117499,151347154,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Uçal Kağıt İlkokulu Bahçesi,İSTANBUL,LEYLAK,ÇEKMEKÖY,SIRAPINAR,29.351156603293678,41.12589621117499,151347152,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Cumhuriyet Köy Parkı,İSTANBUL,GARDENYA ÇIKMAZI,BEYKOZ,CUMHURİYET,29.283181097455355,41.12679452234998,151346636,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Sırapınar Parkı,İSTANBUL,ZORLU,ÇEKMEKÖY,SIRAPINAR,29.324921084732136,41.12679452234998,151347153,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Cumhuriyet Futbol Sahası,İSTANBUL,BEYKOZ,BEYKOZ,CUMHURİYET,29.276025818033148,41.13487932292492,151346635,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Kılıçlı İlkokulu Bahçesi,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.32254182132596,41.13487932292492,151346640,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Kılıçlı Köy Parkı,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.32015762663306,41.1366759452749,151346639,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
0/788 Parselde Bulunan Park,İSTANBUL,ŞİLE,BEYKOZ,KILIÇLI,29.28079701685777,41.13847256762489,151346638,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
Karakiraz Köy Okulu ve BHA,İSTANBUL,ERGUN,ŞİLE,KARAKİRAZ,29.344014535550127,41.13847256762489,151349021,"[<POLYGON ((29.278 41.139, 29.277 41.136, 29.276 41.135, 29.275 41.136, 29.27...>]"
