tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Aksaray Metro İstasyonu,İSTANBUL,ADNAN MENDERES VATAN,FATİH,İSKENDERPAŞA,28.95054918092875,41.01008711117499,151347689,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Muratpaşa Parkı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,MOLLA GÜRANİ,28.95054918092875,41.01008711117499,151347771,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Oruçgazi Ortaokulu Bahçesi,İSTANBUL,ADNAN MENDERES VATAN,FATİH,İSKENDERPAŞA,28.95054918092875,41.01008711117499,151347691,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Oruçgazi Parkı,İSTANBUL,NALINCI FEVZİ,FATİH,İSKENDERPAŞA,28.9517396371145,41.01008711117499,151347693,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Numune Parkı,İSTANBUL,ATATÜRK,FATİH,KEMALPAŞA,28.95293009330025,41.01008711117499,151347633,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Şehit Mehmet Çetinkaya Parkı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,MOLLA GÜRANİ,28.949358789666938,41.01098542234998,151347770,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Arkeoloji Parkı,İSTANBUL,GİRDAP,FATİH,İSKENDERPAŞA,28.95173992928548,41.01278204469997,151347690,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
İskenderpaşa İlkokulu Bahçesi,İSTANBUL,AHMEDİYE,FATİH,İSKENDERPAŞA,28.945787421114105,41.01368035587496,151347692,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Molla Şeref Parkı,İSTANBUL,ADNAN MENDERES VATAN,FATİH,MOLLA GÜRANİ,28.945787421114105,41.01368035587496,151347772,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Fatih Anıt Parkı,İSTANBUL,MACAR KARDEŞLER,FATİH,ZEYREK,28.951740124088182,41.01457866704995,151347730,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Saraçhane Parkı,İSTANBUL,ATATÜRK,FATİH,KALENDERHANE,28.954121198784243,41.01457866704995,151347631,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
Fatih Camii Avlusu,İSTANBUL,MACAR KARDEŞLER,FATİH,ALİ KUŞÇU,28.948168560748076,41.015476978224946,151347765,"[<POLYGON ((28.945 41.014, 28.945 41.014, 28.948 41.012, 28.949 41.011, 28.95...>]"
