tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Eyüp Stadı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.9307165605402,41.046106211174994,151347590,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Hz. Halid Parkı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.9307165605402,41.046106211174994,151347589,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Amcazade Vakfı Arazisi,İSTANBUL,EYÜP SULTAN,EYÜPSULTAN,NİŞANCI,28.9307165605402,41.046106211174994,151347521,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Arif Paşa Parkı,İSTANBUL,HALİTPAŞA,EYÜPSULTAN,İSLAMBEY,28.928334442968133,41.04700452234999,151347588,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
İslambey Bostancı Sk Toplanma Alanı,İSTANBUL,TAHTAMİNARE BOSTANI,EYÜPSULTAN,İSLAMBEY,28.927143563069645,41.049699455874965,151347591,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Argaç Sokak Parkı,İSTANBUL,İSLAMBEY ÇEŞMESİ,EYÜPSULTAN,İSLAMBEY,28.9259524555095,41.05059776704996,151347592,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Dikiliağaç Parkı,İSTANBUL,MEHMET ALİAĞA,EYÜPSULTAN,İSLAMBEY,28.924761315424668,41.05149607822495,151347604,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Dikili Ağaç Parkı,İSTANBUL,ATABEY,EYÜPSULTAN,RAMİ CUMA,28.922378921406473,41.05239438939994,151347553,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Yücel Sk.Parkı,İSTANBUL,MEŞATLIK DERE,GAZİOSMANPAŞA,SARIGÖL,28.922378921406473,41.05239438939994,151347797,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
Sayalar Camii Bahçesi,İSTANBUL,ÖĞRENCİLER,GAZİOSMANPAŞA,KARLITEPE,28.92714388836062,41.053292700574936,151347819,"[<POLYGON ((28.927 41.049, 28.927 41.049, 28.928 41.048, 28.928 41.048, 28.92...>, <POLYGON ((28.739 41.186, 28.74 41.186, 28.74 41.186, 28.74 41.185, 28.741 4...>]"
