tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İstiklal Mahallesi Muhtarlığı Arkası  Yeşil Alanlar,İSTANBUL,AY,BEYOĞLU,İSTİKLAL ,28.967999579161887,41.03901101117499,151439810,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Sururi Parkı,İSTANBUL,KURTULUŞ DERESİ,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.967999579161887,41.03901101117499,151346845,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Sururi Ortaokulu Bahçesi,İSTANBUL,KURTULUŞ DERESİ,BEYOĞLU,SURURİ MEHMET EFENDİ ,28.967999579161887,41.03901101117499,151346844,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Hacı Ahmet Parkı,İSTANBUL,İPLİKÇİ FIRINI,BEYOĞLU,HACIAHMET ,28.967999595416565,41.039909322349985,151346854,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Piyale Paşa Cami Önü,İSTANBUL,PİYALEPAŞA BULVARI,BEYOĞLU,KAPTANPAŞA ,28.96799961167198,41.04080763352498,151346848,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Piyalepaşa Spor Tesisi Bitişiği Boş Alan,İSTANBUL,PİYALEPAŞA BULVARI,BEYOĞLU,PİYALEPAŞA ,28.967999627928133,41.04170594469997,151346870,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Ferit Güleryüz Parkı,İSTANBUL,İPLİKÇİ FIRINI,BEYOĞLU,HACIAHMET ,28.9703816837844,41.04170594469997,151346853,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Piyalepaşa Spor Tesisi,İSTANBUL,PİYALEPAŞA BULVARI,ŞİŞLİ,MAHMUT ŞEVKET PAŞA,28.967999660442644,41.043502567049956,151350659,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Hacı Arif Şimşek Parkı,İSTANBUL,BAYIR,ÜMRANİYE,İSTİKLAL,29.09828293954617,41.010839111174995,151349666,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Nabi Avcı Lisesi Bahçesi,İSTANBUL,BAYIR,ÜMRANİYE,İSTİKLAL,29.09828293954617,41.010839111174995,151349669,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
30 Ağustos İlkokulu Bahçesi,İSTANBUL,3011.,ÜMRANİYE,YENİŞEHİR,29.09828293954617,41.010839111174995,151349829,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
30 Ağustos Parkı,İSTANBUL,3001.,ÜMRANİYE,YENİŞEHİR,29.099473409319256,41.010839111174995,151349830,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Mimar Sinan Parkı,İSTANBUL,REŞİTPAŞA,ÜMRANİYE,ATAKENT,29.099473409319256,41.010839111174995,151349635,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Sedir Parkı,İSTANBUL,REŞİTPAŞA,ÜMRANİYE,ATAKENT,29.10066387909234,41.010839111174995,151349646,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Hamidiye Parkı,İSTANBUL,3014.,ÜMRANİYE,İSTİKLAL,29.097092486004687,41.01173742234999,151349670,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Akşemsettin Parkı,İSTANBUL,REŞİTPAŞA,ÜMRANİYE,ATAKENT,29.100663944018752,41.01173742234999,151349634,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
M.Akif Kültür Merkezi Bahçesi,İSTANBUL,GÜLİSTAN,ÜMRANİYE,İSTİKLAL,29.099473506711067,41.01263573352498,151349671,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Duru Parkı,İSTANBUL,REŞİTPAŞA,ÜMRANİYE,ATAKENT,29.101854511185113,41.01263573352498,151349632,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Kuzey Sokak Site Bahçesi,İSTANBUL,KUZEY,ÜMRANİYE,İSTİKLAL,29.103045110820577,41.01353404469997,151349672,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Mahmut Karaca Aile Sağlık Merkezi Yanı,İSTANBUL,LEVENT,ÜMRANİYE,İSTİKLAL,29.098283069407803,41.014432355874966,151349673,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Şehit Lokman Oktay Ortaokulu Bahçesi,İSTANBUL,ABDÜLHAMİT,ÜMRANİYE,İSTİKLAL,29.100664138815606,41.014432355874966,151349674,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Muhtar Seyfi Semiz Parkı,İSTANBUL,BAĞIMSIZLIK,ÜMRANİYE,ATAKENT,29.101854754692212,41.01533066704996,151349872,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Cengiz Topel Spor Tesisleri,İSTANBUL,MARMARA,ÜMRANİYE,NAMIK KEMAL,29.09709256717372,41.01622897822495,151349707,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Rumeli Parkı,İSTANBUL,MARMARA,ÜMRANİYE,NAMIK KEMAL,29.09709256717372,41.01622897822495,151349706,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Çimen Parkı,İSTANBUL,ŞEHZADE,ÜMRANİYE,İSTİKLAL,29.10185491704867,41.017127289399944,151349675,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Aşık Veysel Parkı,İSTANBUL,ÇOBANGÜLÜ,ÜMRANİYE,İSTİKLAL,29.101854998232422,41.01802560057494,151349667,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Necmettin Öztürk Parkı,İSTANBUL,HATBOYU,ÜMRANİYE,ATAKENT,29.103045597878907,41.01802560057494,151349648,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Ahmet Kılıçarslan İlkokulu Bahçesi,İSTANBUL,KIZILAY,ÜMRANİYE,İSTİKLAL,29.100664463535868,41.01892391174993,151349676,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Razgrad Parkı,İSTANBUL,GELİBOLU,ÜMRANİYE,ATAKENT,29.10423631118777,41.01892391174993,151349650,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
İklim Parkı,İSTANBUL,HATBOYU,ÜMRANİYE,NAMIK KEMAL,29.097092632122187,41.01982222292492,151349708,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Sevgi Parkı,İSTANBUL,HACI RÜSTEMOĞLU,ÜMRANİYE,İSTİKLAL,29.10423642485532,41.01982222292492,151349668,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Hanımeli Çarşısı,İSTANBUL,KAVAKLIDERE,ÜMRANİYE,İSTİKLAL,29.09828329672229,41.020720534099915,151349678,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Misak-ı Milli Parkı,İSTANBUL,GELİBOLU,ÜMRANİYE,ATAKENT,29.105427186889163,41.020720534099915,151349633,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
75.Yıl Cumhurıyet Lisesi Bahçesi,İSTANBUL,HACI RÜSTEMOĞLU,ÜMRANİYE,İSTİKLAL,29.104236652205838,41.02161884527491,151349677,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Orhangazi Parkı,İSTANBUL,ALEMDAĞ,ÜMRANİYE,YAMANEVLER,29.09709268084126,41.0225171564499,151349723,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
Canpark AVM Bahçesi,İSTANBUL,ALEMDAĞ,ÜMRANİYE,YAMANEVLER,29.105427446730094,41.0225171564499,151349724,"[<POLYGON ((28.968 41.045, 28.968 41.045, 28.967 41.043, 28.967 41.042, 28.96...>, <POLYGON ((29.096 41.016, 29.096 41.016, 29.096 41.016, 29.096 41.016, 29.09...>, <POLYGON ((28.656 41.037, 28.655 41.037, 28.655 41.038, 28.654 41.038, 28.65...>]"
