tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Emirgan Korusu,İSTANBUL,KATAR,SARIYER,EMİRGAN,29.04787478030787,41.11114211117499,151348802,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Migros Otoparkı,İSTANBUL,GONCALI ÇIKMAZI,SARIYER,İSTİNYE,29.04787478030787,41.11114211117499,151348807,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Cahar Dudayev Parkı,İSTANBUL,GONCALI ÇIKMAZI,SARIYER,İSTİNYE,29.04787478030787,41.11114211117499,151348804,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Şükran Ülgezen Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,BOSTAN KORU ÜSTÜ,SARIYER,İSTİNYE,29.050259353709617,41.11114211117499,151348805,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Otopark ve Go Kart Alanı,İSTANBUL,BOSTAN KORU ÜSTÜ,SARIYER,İSTİNYE,29.050259353709617,41.11114211117499,151348808,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Panorama Halı Saha,İSTANBUL,SULH,SARIYER,POLİGON,29.045490321103653,41.112040422349985,151348810,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
İstinye Halı Saha,İSTANBUL,ÇİLEKLİ,SARIYER,İSTİNYE,29.053836442207306,41.112040422349985,151348809,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
İBB Poligon Parkı,İSTANBUL,TEPEÜSTÜ,SARIYER,POLİGON,29.043105796647417,41.11293873352498,151348813,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Kazım Karabekir İlkokulu Bahçesi,İSTANBUL,TEPEÜSTÜ,SARIYER,POLİGON,29.043105796647417,41.11293873352498,151348812,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Carrefour Otoparkı,İSTANBUL,ALINTERİ,SARIYER,İSTİNYE,29.046682885159186,41.11383704469997,151348806,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Eski Halk Eğitim Merkezi,İSTANBUL,İSTİNYE İSKELESİ ÇIKMAZI,SARIYER,YENİKÖY,29.060990912897964,41.11383704469997,151348796,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
Albay Osman Parkı,İSTANBUL,İSTİNYE İSKELESİ ÇIKMAZI,SARIYER,YENİKÖY,29.060990912897964,41.11383704469997,151348790,"[<POLYGON ((29.051 41.123, 29.05 41.123, 29.05 41.123, 29.05 41.123, 29.05 41...>]"
