tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Çanakkale Caddesi Yeşil Alan,İSTANBUL,SÜTÇÜ PINAR,ÇATALCA,BAHŞAYİŞ,28.52873896303311,41.13782271117499,151347073,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Nazlıgül Sokak Yeşil Alan,İSTANBUL,SÜLEYMAN BİNGÖL,ÇATALCA,İZZETTİN,28.52873896303311,41.13782271117499,151347062,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Çatalca Tren İstasyonu,İSTANBUL,SÜLEYMAN BİNGÖL,ÇATALCA,FERHATPAŞA,28.52873896303311,41.13782271117499,151347037,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Ahmediye Parkı,İSTANBUL,AHMEDİYE-BAHŞAYİŞ,BÜYÜKÇEKMECE,AHMEDİYE,28.529931734587006,41.13782271117499,151346949,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Ferhatpaşa İlkokul Bahçesi ve Sahası,İSTANBUL,EMİN,ÇATALCA,FERHATPAŞA,28.513233488253658,41.13872102234998,151347043,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Yeşil Alan (643 Ada 4 Parsel),İSTANBUL,EMİN,ÇATALCA,FERHATPAŞA,28.513233488253658,41.13872102234998,151347035,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
İzzettin Köy Meydanı,İSTANBUL,SÜLEYMAN BİNGÖL,ÇATALCA,İZZETTİN,28.528739730821233,41.13872102234998,151347063,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Yeşil Alan (658 Ada 1 Parsel),İSTANBUL,SÜLEYMAN BİNGÖL,ÇATALCA,FERHATPAŞA,28.500116955577365,41.1486024452749,151347036,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Hacı Teyfik Sokak Yeşil Alan,İSTANBUL,KOŞUYOLU,ÇATALCA,NAKKAŞ,28.52636665711938,41.15399231232486,151347026,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Tayfun Topçu Parkı,İSTANBUL,İSTASYON,ÇATALCA,FERHATPAŞA,28.483416438567165,41.15489062349985,151347030,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Millet Bahçesi Yapılacak Alan,İSTANBUL,İSTASYON,ÇATALCA,FERHATPAŞA,28.48103084674292,41.159382179374816,151347045,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Mehmetcik Parkı.,İSTANBUL,LAVANTA ÇIKMAZI,ÇATALCA,KALEİÇİ,28.47625868217252,41.16836529112474,151347051,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Kurban Alanı Pazar ve Kesim Alanı,İSTANBUL,LAVANTA ÇIKMAZI,ÇATALCA,KALEİÇİ,28.473872076476432,41.17106022464972,151347053,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
75. Yıl Parkı,İSTANBUL,LAVANTA ÇIKMAZI,ÇATALCA,KALEİÇİ,28.47387210920387,41.17285684699971,151347047,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Gökçeali Mahallesi Yeşil Alan (112 Ada 49 Parsel),İSTANBUL,PEKMEZCİ,ÇATALCA,GÖKÇEALİ,28.473872240143315,41.18004333639965,151347095,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Örcünlü Meydanı,İSTANBUL,KÖRBÜVET ÇIKMAZI,ÇATALCA,ÖRCÜNLÜ,28.51206660522483,41.181839958749634,151347058,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Kaşif Sokak Spor Alanı,İSTANBUL,NİHAL,ÇATALCA,OKLALI,28.481034283280145,41.1863315146246,151347093,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
Oklalı Meydanı,İSTANBUL,YOL ALTI,ÇATALCA,OKLALI,28.487005309025815,41.198907871074496,151347094,"[<POLYGON ((28.533 41.138, 28.533 41.139, 28.532 41.14, 28.531 41.141, 28.531...>]"
