tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yavuz Selim Parkı,İSTANBUL,HATBOYU,TUZLA,YAYLA,29.308281401166063,40.84021861117499,151349518,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Evliya Çelebi Parkı,İSTANBUL,HATBOYU,TUZLA,EVLİYA ÇELEBİ,29.308281401166063,40.84021861117499,151349546,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Veysel Karani Parkı.,İSTANBUL,HATBOYU,TUZLA,EVLİYA ÇELEBİ,29.308281401166063,40.84021861117499,151349545,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Merdekan Parkı,İSTANBUL,HATBOYU,TUZLA,EVLİYA ÇELEBİ,29.307094145883138,40.84111692234998,151349548,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Tuzla Stadı,İSTANBUL,PİRİ REİS,TUZLA,İÇMELER,29.308281562092375,40.84111692234998,151349535,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Şehit Ferdi Bolat Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İÇMELER,29.309469155328607,40.842015233524975,151349534,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Belediye Parkı (Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,HATBOYU,TUZLA,EVLİYA ÇELEBİ,29.30471953877682,40.84291354469997,151349542,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Cumhuriyet Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,İÇMELER,29.307094580423573,40.84381185587496,151349531,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Huzur Parkı,İSTANBUL,GENÇ OSMAN,TUZLA,EVLİYA ÇELEBİ,29.3011573867333,40.845608478224946,151349547,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
İçmeler Meydanı,İSTANBUL,OKÇU,TUZLA,İÇMELER,29.30353247668198,40.84650678939994,151349533,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Aydıntepe Mahallesi Piknik Alanı,İSTANBUL,RAUF ORBAY,TUZLA,AYDINTEPE,29.29759494497652,40.848303411749924,151349553,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Hasan Coşar Parkı,İSTANBUL,BİNNUR,TUZLA,İÇMELER,29.309470394741727,40.848303411749924,151349532,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Fatih Sultan Mehmet Parkı,İSTANBUL,D-100 KARAYOLU,TUZLA,AYDINTEPE,29.297594961075706,40.84920172292492,151349551,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
Şelale Park Otoparkı ( Aynı Zamanda TRANSFER ALANIDIR. ),İSTANBUL,AYDINLI YOLU,TUZLA,AYDINTEPE,29.31303370586774,40.8509983452749,151349540,"[<POLYGON ((29.296 40.848, 29.297 40.848, 29.297 40.848, 29.298 40.848, 29.29...>]"
