tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
İBB Şehit Şerife Bacı İlkokulu Bahçesi,İSTANBUL,PETROL,AVCILAR,TAHTAKALE,28.735600780114837,41.062710211174995,151345750,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Şahintepe Barboros Caddesi Parkı,İSTANBUL,İSTANBUL,BAŞAKŞEHİR,ŞAHİNTEPE,28.735600780114837,41.062710211174995,151346353,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Necdet Semker Ortaokulu Bahçesi,İSTANBUL,PETROL,AVCILAR,TAHTAKALE,28.735600780114837,41.062710211174995,151345749,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Güvercintepe Muhtarlık Önü ve Çevresi,İSTANBUL,1103.,BAŞAKŞEHİR,GÜVERCİNTEPE,28.74394063778554,41.062710211174995,151346362,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Hasanoğlu Deresi ve Kanuni Sultan Süleyman Parkı,İSTANBUL,YAN YOL,KÜÇÜKÇEKMECE,ATAKENT,28.746323454262882,41.062710211174995,151350124,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Olimpiyat Park Alan ( Aynı Zamanda TRANSFER ALANIDIR.),İSTANBUL,YAN YOL,BAŞAKŞEHİR,ZİYA GÖKALP,28.746324154049958,41.06360852234999,151346372,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Faruk Nafiz Çamlıbel Cad. Toplanma Alanı,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.73083710018733,41.066303455874966,151345747,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Osman Gazi Cad. Toplanma Alanı,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.728455520844058,41.068998389399944,151345745,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Şahin Tepesi Spor Parkı,İSTANBUL,DAĞÇİMEN,BAŞAKŞEHİR,ŞAHİNTEPE,28.73560465388207,41.068998389399944,151346366,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Hacı Fatmagül Mesleki Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ESKİ İSTANBUL,BAŞAKŞEHİR,ŞAHİNTEPE,28.72488258236409,41.072591634099915,151346371,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Hikmet Uluğbay Ortaokulu Bahçesi,İSTANBUL,İSTİKLAL,BAŞAKŞEHİR,GÜVERCİNTEPE,28.742757043071983,41.07348994527491,151346364,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Sultan Alparslan İlkokulu Bahçesi,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.722500156774732,41.0743882564499,151345739,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Aydos Sok. Toplanma Alanı,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.722500905842406,41.076184878799886,151345741,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Ispartakule Bulvarı Toplanma Alanı (2),İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.717735224428402,41.078879812324864,151345738,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Ispartakule Bulvarı Toplanma Alanı (1),İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.71416116303582,41.082473057024835,151345736,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Park Güvercintepe,İSTANBUL,İSTİKLAL,BAŞAKŞEHİR,GÜVERCİNTEPE,28.736804725390854,41.082473057024835,151346363,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Piri Reis Cad. Toplanma Alanı,İSTANBUL,ESKİ İSTANBUL,AVCILAR,TAHTAKALE,28.71058628727541,41.08426967937482,151345729,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
Tekstilkent Parkı,İSTANBUL,İSTİKLAL,BAŞAKŞEHİR,GÜVERCİNTEPE,28.739197302285813,41.095947724649726,151346349,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
1006. Park,İSTANBUL,İSTİKLAL,BAŞAKŞEHİR,KAYABAŞI,28.738008812921684,41.10133759169968,151346350,"[<POLYGON ((28.695 41.103, 28.698 41.101, 28.698 41.101, 28.7 41.098, 28.702 ...>]"
