tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
0 Ada 557 Parsel (Kamu Arazisi),İSTANBUL,MELEKOTU,PENDİK,SÜLÜNTEPE,29.254743460195797,40.93218721117499,151350204,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Yavuz Selim Orman Toplanma Alanı,İSTANBUL,SANEM,SULTANBEYLİ,NECİP FAZIL,29.254743460195797,40.93218721117499,151349190,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Ercan Görür İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ORMAN,PENDİK,ERTUĞRUL GAZİ,29.254743460195797,40.93218721117499,151350205,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Aydos Sosyal Tesisi,İSTANBUL,SANEM,SULTANBEYLİ,NECİP FAZIL,29.257121563108882,40.93218721117499,151349329,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Kutlu Sokak Park ve Antrenman Sahası,İSTANBUL,SEMERKANT,PENDİK,ÇAMLIK,29.263066820391593,40.93218721117499,151350351,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Fuat Sezgin Anadolu İmam Hatip Lisesi Bahçesi,İSTANBUL,TUFAN,SULTANBEYLİ,YAVUZ SELİM,29.254743573367385,40.933085522349984,151349187,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Kaynaşlı Sk. Parkı,İSTANBUL,SONER,SULTANBEYLİ,NECİP FAZIL,29.266634249606504,40.933085522349984,151349250,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Cumhuriyet İlkokulu ve Ortaokulu Bahçesi,İSTANBUL,SANEM,SULTANBEYLİ,NECİP FAZIL,29.265445440672273,40.93398383352498,151349247,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Yahya Kemal Beyatlı Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,SONER,SULTANBEYLİ,NECİP FAZIL,29.27139085963236,40.93398383352498,151349249,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Necip Fazıl Kısakürek Parkı,İSTANBUL,VİLLALAR,SULTANBEYLİ,NECİP FAZIL,29.270202746014327,40.936678767049955,151349246,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Şehit Erkan Karakaş Parkı,İSTANBUL,SEYİT GAZİ,SULTANBEYLİ,MEHMET AKİF,29.252365842358746,40.93757707822495,151349209,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
Mehmet Akif Ersoy İlkokulu Bahçesi,İSTANBUL,VATAN,SULTANBEYLİ,ABDURRAHMANGAZİ,29.25236600408003,40.93937370057493,151349320,"[<POLYGON ((29.255 40.931, 29.256 40.932, 29.258 40.932, 29.259 40.932, 29.26...>]"
