tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Ali İhsan Hayırlıoğlu Ortaokulu ve Yunus Emre Özel Egitim Uygulama  Okulu Bahçeleri,İSTANBUL,TURGUT ÖZAL,ATAŞEHİR,YENİŞEHİR,29.145443262984745,40.995561311174995,151345631,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Can Parkı,İSTANBUL,EKİN,ATAŞEHİR,ATATÜRK,29.145443262984745,40.995561311174995,151345627,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Kanuni Nizam Parkı,İSTANBUL,TURGUT ÖZAL,ATAŞEHİR,YENİŞEHİR,29.145443262984745,40.995561311174995,151345609,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
İmar İskan Parkı 1,İSTANBUL,TURGUT ÖZAL,ATAŞEHİR,YENİŞEHİR,29.147823650646327,40.995561311174995,151345608,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Fatih Sultan Mehmet Parkı,İSTANBUL,SÖYLEŞİ,ÜMRANİYE,ŞERİFALİ,29.149013844477118,40.995561311174995,151349807,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
İmar İskan Parkı 2,İSTANBUL,TURGUT ÖZAL,ATAŞEHİR,YENİŞEHİR,29.1513942321387,40.995561311174995,151345610,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Acarlar 8,İSTANBUL,NECİP FAZIL,ATAŞEHİR,YENİ ÇAMLICA,29.15496481363107,40.995561311174995,151345599,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Acarlar 2,İSTANBUL,NECİP FAZIL,ATAŞEHİR,YENİ ÇAMLICA,29.15496481363107,40.995561311174995,151345600,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Golf Sahası,İSTANBUL,MUCİT,ATAŞEHİR,ATATÜRK,29.140682520099784,40.99645962234999,151345518,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Atabek Parkı,İSTANBUL,ALPTEKİN,ÜMRANİYE,ŞERİFALİ,29.140682520099784,40.99645962234999,151349811,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Yavuz Sultan Selim Parkı,İSTANBUL,ALPTEKİN,ÜMRANİYE,TATLISU,29.140682520099784,40.99645962234999,151349735,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Hatboyu Parkı,İSTANBUL,ALPTEKİN,ÜMRANİYE,ŞERİFALİ,29.144253150249458,40.99645962234999,151349809,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Kaşif Kalkavan Parkı,İSTANBUL,ÇETİN,ÜMRANİYE,TATLISU,29.140682552539456,40.99735793352498,151349733,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Açelya Parkı,İSTANBUL,BAYRAKTAR,ÜMRANİYE,ŞERİFALİ,29.145443457618367,40.99735793352498,151349810,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Şerifali Muhtarlık Yanı,İSTANBUL,KALE,ÜMRANİYE,ŞERİFALİ,29.145443554941796,40.998256244699974,151349812,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Sardunya Parkı,İSTANBUL,ADİL,ÜMRANİYE,ŞERİFALİ,29.145443652269638,40.999154555874966,151349808,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Bilgi Çağı Okul Bahçesi,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,YUKARI DUDULLU,29.150204849336486,41.00005286704996,151349693,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Güvercin Parkı,İSTANBUL,TAVUKÇUYOLU,ÜMRANİYE,YUKARI DUDULLU,29.15020501156423,41.00095117822495,151349694,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Site Parkı,İSTANBUL,ÇETİN,ÜMRANİYE,MEHMET AKİF,29.14425379914579,41.00364611174993,151349679,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
Paşa Çocuk Parkı,İSTANBUL,ACISU,ÜMRANİYE,ALTINŞEHİR,29.146634592384117,41.00454442292492,151349607,"[<POLYGON ((29.155 40.995, 29.155 40.995, 29.155 40.996, 29.155 40.997, 29.15...>]"
