tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Pendik İMKB Mesleki ve Teknik Anadolu Lisesi Bahçesi,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.281300145177884,40.903137911174994,151350239,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Pendik Mesleki ve Teknik Anadolu Lisesi Antrenman Sahası,İSTANBUL,ANKARA,PENDİK,GÜLLÜ BAĞLAR,29.281300145177884,40.903137911174994,151350240,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Şehit Kemal Ağgez Parkı,İSTANBUL,ALEMŞAH,PENDİK,ŞEYHLİ,29.281300145177884,40.903137911174994,151350356,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Ramazanoğlu Çocuk Parkı,İSTANBUL,ŞÜHEDA,PENDİK,RAMAZANOĞLU,29.28248867421346,40.903137911174994,151350157,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
100. Yıl Çanakkale Parkı,İSTANBUL,ŞÜHEDA,PENDİK,ŞEYHLİ,29.284865732284615,40.903137911174994,151350358,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Şehit Sezer Yüksel Parkı,İSTANBUL,SAĞLIK,PENDİK,ŞEYHLİ,29.286054261320192,40.903137911174994,151350359,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Hersek Sokak Parkı,İSTANBUL,KİRAM,PENDİK,ŞEYHLİ,29.288431319391346,40.903137911174994,151350360,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Yeni Ay Sokak Parkı,İSTANBUL,ALEMŞAH,PENDİK,ŞEYHLİ,29.28130022589648,40.90403622234999,151350357,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Toki Parkı ve Spor Sahaları,İSTANBUL,ANKARA,PENDİK,SÜLÜNTEPE,29.2777346226475,40.90493453352498,151350338,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Hilal Konutları Site Yönetimi Parkı,İSTANBUL,SEYİT ALİ,PENDİK,ŞEYHLİ,29.283677542282536,40.90583284469997,151350361,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Şehit Turan Kutlu Parkı,İSTANBUL,YILDIRIM BAYEZİT,PENDİK,RAMAZANOĞLU,29.293186162034008,40.90583284469997,151350156,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Profesör Dr. Ahmet Hamdi Turgut Cami Bahçesi,İSTANBUL,ENSAR,PENDİK,SANAYİ,29.294374997837522,40.906731155874965,151350159,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Düğün Sokak Parkı ve Karşısı,İSTANBUL,AKŞEMSEDDİN,PENDİK,ŞEYHLİ,29.284866378091934,40.90762946704996,151350362,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Mustafa Karuşağı İlkokulu Bahçesi,İSTANBUL,HIZIR REİS,PENDİK,KURTKÖY,29.296752475706853,40.90762946704996,151350384,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Sülüntepe Parkı,İSTANBUL,YUNUS EMRE,PENDİK,SÜLÜNTEPE,29.2789233777266,40.90852777822495,151350335,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Mesken Konutları  Parkı,İSTANBUL,ÜSTÜN,PENDİK,KURTKÖY,29.286055569198414,40.91122271174993,151350341,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Tenvir Sokak Parkı,İSTANBUL,SAFA,PENDİK,SÜLÜNTEPE,29.283678333539747,40.91212102292492,151350337,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Vildan Sokak Parkı,İSTANBUL,SAFA,PENDİK,SÜLÜNTEPE,29.2836785596593,40.91391764527491,151350336,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
Molla Gürani Parkı,İSTANBUL,SARI LALE,PENDİK,KURTKÖY,29.287244728084715,40.91391764527491,151350345,"[<POLYGON ((29.287 40.914, 29.287 40.914, 29.287 40.915, 29.285 40.914, 29.28...>]"
