tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
KARGALI ORTAOKULU,KOCAELİ,KARGALI,GEBZE,KARGALI,29.66366901742683,40.96264671117499,151576214,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Değirmençayırı Köy Camii ve Bahçesi,İSTANBUL,ORHANLI,ŞİLE,DEĞİRMENÇAYIRI,29.66366901742683,40.96264671117499,151349049,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Yaka Köy Konağı ve Camii Alanı,İSTANBUL,GÜLGÜN,ŞİLE,YAKA,29.66366901742683,40.96264671117499,151349042,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
AHATLI PARKI,KOCAELİ,3126.,GEBZE,AHATLI,29.66724252954154,40.96354502234998,151576204,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Çengilli Okul Alanı ve Bahçesi,İSTANBUL,DEĞİRMEN ÇAYIRI,ŞİLE,ÇENGİLLİ,29.620912807815817,40.97791800114987,151349032,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
MUDARLI PARKI,KOCAELİ,MUDARLI İSTİKLAL,GEBZE,MUDARLI,29.609025818668332,40.980612934674845,151576215,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
HATİPLER MAHALLESİ PARKI,KOCAELİ,TEPEMANAYIR,GEBZE,HATİPLER,29.689940653666046,40.980612934674845,151576211,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Hasanlı Köy Camii ve Meydan,İSTANBUL,MİHVER,ŞİLE,HASANLI,29.61261544603047,40.98510449054981,151349055,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Göçbeyli İlkokulu Bahçesi,İSTANBUL,ZÜBEYDE HANIM,PENDİK,GÖÇBEYLİ,29.44127600391134,40.996782535824714,151350287,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Göçbeyli Mahallesi Spor Tesisi,İSTANBUL,ZÜBEYDE HANIM,PENDİK,GÖÇBEYLİ,29.44127600391134,40.996782535824714,151350288,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Ballıca Mahallesi 376 Parsel Kamuya Ait Boş Arazi,İSTANBUL,SARMAŞIK,PENDİK,BALLICA,29.44127600391134,40.996782535824714,151350286,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
TEPEMANAYIR İLKOKULU,KOCAELİ,TEPEMANAYIR,GEBZE,TEPEMANAYIR,29.70550392934023,40.996782535824714,151576223,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Darlık Köy Camii ve Bahçesi,İSTANBUL,DARLIK,ŞİLE,DARLIK,29.611492706689024,41.000375780524685,151348982,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
Ballıca Mahallesi 173 Parsel Kamuya Ait Boş Arazi,İSTANBUL,SARMAŞIK,PENDİK,BALLICA,29.43533426834549,41.00217240287467,151350285,"[<POLYGON ((29.611 41.181, 29.611 41.181, 29.611 41.181, 29.611 41.181, 29.61...>, <POLYGON ((29.612 41.183, 29.612 41.183, 29.612 41.183, 29.612 41.183, 29.61...>, <POLYGON ((29.609 41.181, 29.61 41.181, 29.61 41.181, 29.61 41.181, 29.61 41...>, <POLYGON ((29.605 41.183, 29.605 41.183, 29.605 41.183, 29.606 41.183, 29.60...>, <POLYGON ((29.727 41.157, 29.727 41.157, 29.727 41.158, 29.727 41.158, 29.72...>, <POLYGON ((29.728 41.157, 29.728 41.157, 29.728 41.157, 29.728 41.157, 29.72...>, <POLYGON ((29.747 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.747 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41...>, <POLYGON ((29.748 41.16, 29.748 41.16, 29.748 41.16, 29.748 41.161, 29.748 4...>, <POLYGON ((29.754 41.161, 29.755 41.161, 29.755 41.161, 29.755 41.161, 29.75...>, <POLYGON ((29.781 41.157, 29.781 41.157, 29.781 41.157, 29.781 41.157, 29.78...>, <POLYGON ((29.731 41.155, 29.731 41.155, 29.731 41.156, 29.729 41.156, 29.72...>]"
