tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Fetih Parkı,İSTANBUL,SAKARYA,BAHÇELİEVLER,ŞİRİNEVLER,28.844186878774774,40.99254561117499,151346200,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Hasan Taştan Parkı,İSTANBUL,ÇOBANÇEŞME E-5 YAN YOL,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.844186878774774,40.99254561117499,151346230,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Şehit Er Ramazan Paşagöncü Parkı,İSTANBUL,ÇOBANÇEŞME E-5 YAN YOL,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.844186878774774,40.99254561117499,151346231,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Şirinevler Mehmet Şen İlkokulu Bahçesi,İSTANBUL,MERİÇ,BAHÇELİEVLER,ŞİRİNEVLER,28.84537701816216,40.99254561117499,151346208,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Olimpiyat Sitesi Karşısı Yeşil Alan,İSTANBUL,ÇOBANÇEŞME E-5 YAN YOL,BAKIRKÖY,ATAKÖY 7-8-9-10. KISIM,28.84894743632432,40.99254561117499,151346326,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Bakırköy Kadın Kapalı Ceza İnfaz Kurumu Yanı Boş Alan,İSTANBUL,MUSTAFA SARIÇİÇEK,BAKIRKÖY,ZUHURATBABA,28.850137575711706,40.99254561117499,151346311,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Şehit Yarbay Cesur Parkı,İSTANBUL,TEVFİK FİKRET,BAHÇELİEVLER,ŞİRİNEVLER,28.850137575711706,40.99254561117499,151346211,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Başkanlık Bahçesi,İSTANBUL,TEVFİK FİKRET,BAHÇELİEVLER,ŞİRİNEVLER,28.850137689228152,40.99344392234998,151346201,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Siyavuşpaşa Parkı,İSTANBUL,NAMIK KEMAL,BAHÇELİEVLER,SİYAVUŞPAŞA,28.851327844832173,40.99344392234998,151346049,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Doğan Koloğlu Parkı,İSTANBUL,MAHMUTBEY,BAHÇELİEVLER,HÜRRİYET,28.842996771821394,40.994342233524975,151346218,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
Şair Zihni Ortaokulu Bahçesi,İSTANBUL,FETİH 3.,BAHÇELİEVLER,ŞİRİNEVLER,28.844186943642786,40.994342233524975,151346207,"[<POLYGON ((28.847 41.006, 28.847 41.006, 28.846 41.006, 28.842 41.004, 28.84...>]"
