tesis_adi,il_adi,sokak_adi,ilce_adi,mahalle_adi,lng,lat,id,polygon_bounds
Yahya Kemal Futbol Sahası,İSTANBUL,GÜZELDERE,KAĞITHANE,YAHYA KEMAL,28.988515385981444,41.08669401117499,151348311,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Hilal Parkı,İSTANBUL,GÜZELDERE,KAĞITHANE,ŞİRİNTEPE,28.988515385981444,41.08669401117499,151348208,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Şehit Adem Yavuz Ortaokulu Bahçesi,İSTANBUL,GÜZELDERE,KAĞITHANE,ŞİRİNTEPE,28.988515385981444,41.08669401117499,151348209,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Hasan Hüseyin Parkı,İSTANBUL,AYARCI,KAĞITHANE,ŞİRİNTEPE,28.989707228972165,41.08669401117499,151348207,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Cemre Parkı,İSTANBUL,CEMRE,KAĞITHANE,HARMANTEPE,28.990899071962886,41.08669401117499,151348249,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Yahya Kemal Minibüs Son Durağı,İSTANBUL,GÜZELDERE,KAĞITHANE,YAHYA KEMAL,28.987323559284544,41.087592322349984,151348310,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Acı Yonca Parkı ve Halı Sahalar,İSTANBUL,ACIYONCA,KAĞITHANE,ŞİRİNTEPE,28.987323559284544,41.087592322349984,151348206,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Tuna Caddesi Parkı (Mezarlık Altı),İSTANBUL,ARMAĞAN,KAĞITHANE,SULTAN SELİM,28.9944747149918,41.087592322349984,151348342,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Kağıthane İmam Hatip Ortaokulu Bahçesi,İSTANBUL,ARMAĞAN,KAĞITHANE,SULTAN SELİM,28.9944747149918,41.087592322349984,151348345,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Seyrantepe Korusu,İSTANBUL,KAĞITHANE BARBAROS,KAĞITHANE,SEYRANTEPE,28.987323575579108,41.08849063352498,151348261,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Metehan İlkokulu Bahçesi,İSTANBUL,GÜMÜŞHANE,KAĞITHANE,ŞİRİNTEPE,28.992091077895534,41.08849063352498,151348210,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Sultan Selim Kültür Merkezi Üstü Parkı,İSTANBUL,ARMAĞAN,KAĞITHANE,SULTAN SELİM,28.995666834995248,41.08938894469997,151348339,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
Barbaros Cad. Bayraktar Sokak Parkı,İSTANBUL,ŞİRİNOĞLU,KAĞITHANE,SULTAN SELİM,28.990899332681778,41.09028725587496,151348341,"[<POLYGON ((28.993 41.086, 28.993 41.086, 28.993 41.086, 28.994 41.086, 28.99...>]"
